uc_id,un_sdg_reg,water_tertile,storage_quartile,mean_water_support_ratio,heat_retention_score,profile,lat,lon
3923,Northern America,Low,2,0.0210196036511674,0.0643213279369175,intermediate,36.96005345342918,-120.06652622427788
4008,Northern America,Low,4,0.0115809625147201,1.0862183888268964,lower-water/higher-built,36.78760266282176,-119.77134772020948
4050,Northern America,Low,4,0.0388510840366212,1.0945770044480114,lower-water/higher-built,38.67573638964926,-121.76796417763047
4092,Northern America,Low,3,0.0429131683840355,0.5046643925673913,intermediate,38.59333368736707,-121.391662881117
4211,Northern America,Low,3,0.0022843437766214,0.3237286944453356,intermediate,36.072133437519206,-119.03752889837266
4249,Northern America,Low,3,0.0510849212797387,0.2733873471393325,intermediate,38.667774451868226,-121.1485618600248
4363,Northern America,Low,3,0.0469241924111262,0.5079664161697911,intermediate,38.804912248754626,-121.26652669721284
4477,Northern America,Low,3,0.0429952111080757,0.4755970965252281,intermediate,39.744492358480294,-121.83532389573212
4588,Northern America,Low,3,0.0962109673361574,0.6369430174008538,intermediate,42.341988919677426,-122.87401991041804
4772,Northern America,Low,3,0.2398357221535954,0.547462099701,intermediate,44.06360063576565,-123.08310697236357
4941,Northern America,Low,3,0.2454287434630335,0.7520261618215157,intermediate,45.52625295609426,-122.66718529705255
4974,Northern America,Low,3,0.2700345415993995,0.6278343337922615,intermediate,47.219542077741906,-122.4713637714151
5098,Northern America,Low,3,0.2804746771965455,0.3276759395586553,intermediate,47.621934535910334,-122.27188389417496
5128,Northern America,Low,2,0.249460738028492,0.0669647251449623,intermediate,47.29478426822296,-122.21779282028506
5187,Northern America,Low,3,0.0195449989647271,0.3619466544975399,intermediate,43.57391925879345,-116.56406744070158
5216,Northern America,Low,4,0.0266359604186773,1.1609352251930696,lower-water/higher-built,43.61800746851205,-116.29485576112192
5913,Northern America,Low,3,0.1473211354863702,0.5627138179712514,intermediate,38.873310221344106,-104.77049318024407
5932,Northern America,Low,3,0.1043822222684883,0.7957697061222173,intermediate,39.72301054999064,-104.97736581355043
5988,Northern America,Low,4,0.1072978384881226,1.4749294221873628,lower-water/higher-built,40.016398820019106,-105.257339364697
648,Northern America,Low,4,0.0227912521445806,1.374367009031867,lower-water/higher-built,34.94762863057285,-120.43716103088904
650,Northern America,Low,4,0.2329796388378024,1.014094966955394,lower-water/higher-built,49.108937117595595,-122.69139343562122
