model,term,coef,std_err_hc3,p_value,n_pairs,r_squared
water_obstruction_plus_air,C(un_sdg_reg)[T.Northern America],-0.21079477312121414,0.11131056535395849,0.05825773592863685,20954,0.01498770455635412
water_obstruction_plus_air,C(un_sdg_reg)[T.Sub-Saharan Africa],0.2848401160481173,0.12341246438099335,0.020997267031207276,20954,0.01498770455635412
water_obstruction_plus_air,C(wb_income)[T.Low income],-0.25032603052813296,0.08787129543487907,0.004388715126691052,20954,0.01498770455635412
water_obstruction_plus_air,C(wb_income)[T.Lower Middle],-0.2804782729838835,0.047707738729763506,4.125184690707836e-09,20954,0.01498770455635412
water_obstruction_plus_air,C(wb_income)[T.Upper Middle],-0.25944073947557494,0.036012254244839566,5.837065804708143e-13,20954,0.01498770455635412
water_obstruction_plus_air,z_low_water_support_post_diff,0.01869123656538699,0.009998628591813547,0.06156996163539266,20954,0.01498770455635412
water_obstruction_plus_air,z_ventilation_obstruction_index,-0.05471430164559629,0.02077035165430346,0.00843233419418452,20954,0.01498770455635412
water_obstruction_plus_air,z_low_water_support_post_diff:z_ventilation_obstruction_index,0.021936939335561127,0.008988506503306353,0.014664735987739281,20954,0.01498770455635412
water_obstruction_plus_air,z_t2m_true_night_c_post_diff,0.11179097030657328,0.013361998531022047,5.943751461090028e-17,20954,0.01498770455635412
water_obstruction_plus_air,z_wetbulb_true_night_c_post_diff,-0.10962329713621446,0.012871482446713992,1.6408230631192138e-17,20954,0.01498770455635412
water_obstruction_plus_air,z_built_surface_fraction_2020,0.021075323269568798,0.01869133593513452,0.25951210552953197,20954,0.01498770455635412
water_obstruction_plus_air,z_green_cover_mean_2020,0.05659838018664984,0.015606916331915953,0.00028729607966598326,20954,0.01498770455635412
water_obstruction_ahe_subset,Intercept,-1157551320681.3547,3173.7279671494525,0.0,6390,0.012139477016806954
water_obstruction_ahe_subset,C(un_sdg_reg)[T.Eastern and South-Eastern Asia],1157551320681.8884,3173.7279671507836,0.0,6390,0.012139477016806954
water_obstruction_ahe_subset,C(un_sdg_reg)[T.Europe],1157551320681.681,3173.7279671498286,0.0,6390,0.012139477016806954
water_obstruction_ahe_subset,C(un_sdg_reg)[T.Latin America and the Caribbean],1157551320682.153,3173.727967151235,0.0,6390,0.012139477016806954
water_obstruction_ahe_subset,C(un_sdg_reg)[T.Northern America],1157551320681.5115,3173.7279671485985,0.0,6390,0.012139477016806954
water_obstruction_ahe_subset,C(wb_income)[T.Low income],-0.31864582991750445,1.1425884345792072e-08,0.0,6390,0.012139477016806954
water_obstruction_ahe_subset,C(wb_income)[T.Lower Middle],1157551320681.5981,3173.7279671503375,0.0,6390,0.012139477016806954
water_obstruction_ahe_subset,C(wb_income)[T.Upper Middle],-0.16804254697414536,5.537737807044598e-09,0.0,6390,0.012139477016806954
water_obstruction_ahe_subset,z_low_water_support_post_diff,0.02052923480366287,5.805173436965685e-10,0.0,6390,0.012139477016806954
water_obstruction_ahe_subset,z_ventilation_obstruction_index,-0.08153481729304653,6.454933307912448e-09,0.0,6390,0.012139477016806954
water_obstruction_ahe_subset,z_low_water_support_post_diff:z_ventilation_obstruction_index,0.02978742142679022,5.112866055029123e-10,0.0,6390,0.012139477016806954
