model,term,coef,std_err,p_value,n_cities,pseudo_r2
city_augmented_builtform,z_high_green_fraction_2020,0.007193290291928086,0.005691335084729206,0.2062651726038014,2769,0.5060807227600492
city_augmented_builtform,z_canopy_height_mean_2020,0.05491610742568298,0.004511916029814586,4.417179225216418e-34,2769,0.5060807227600492
city_augmented_builtform,z_road_density_2024,0.046862640186345755,0.0045699345314689265,1.1289602901760978e-24,2769,0.5060807227600492
city_augmented_builtform,z_lcz_compact_share_2025,-0.03124862330365979,0.003634210507882592,8.079102296982398e-18,2769,0.5060807227600492
city_augmented_builtform,z_lcz_natural_share_2025,-0.0026649107833613206,0.0029530930192951327,0.3668372926553606,2769,0.5060807227600492
city_augmented_builtform,un_sdg_reg_Central and Southern Asia,-0.024143143389170122,0.03836775925555154,0.5291814607057952,2769,0.5060807227600492
city_augmented_builtform,un_sdg_reg_Eastern and South-Eastern Asia,-0.012701150969570064,0.036647734738020424,0.7289114031370233,2769,0.5060807227600492
city_augmented_builtform,un_sdg_reg_Europe,0.3334216031865297,0.03482534384329402,1.0274031521603683e-21,2769,0.5060807227600492
city_augmented_builtform,un_sdg_reg_Latin America and the Caribbean,0.045811597290154424,0.03717801743885561,0.21786590332040923,2769,0.5060807227600492
city_augmented_builtform,un_sdg_reg_Northern Africa and Western Asia,0.2975476109966792,0.04407773024321615,1.4731594744440262e-11,2769,0.5060807227600492
city_augmented_builtform,un_sdg_reg_Northern America,0.1133219505850258,0.036087989162585286,0.0016885733319174938,2769,0.5060807227600492
city_augmented_builtform,un_sdg_reg_Sub-Saharan Africa,0.039783565892018286,0.03690547106061841,0.28104018817166554,2769,0.5060807227600492
city_augmented_builtform,wb_income_Low income,0.1884012282731979,0.01823140827944054,4.951502988872702e-25,2769,0.5060807227600492
city_augmented_builtform,wb_income_Lower Middle,0.12550221237267128,0.014498593092312363,4.8790271516909686e-18,2769,0.5060807227600492
city_augmented_builtform,wb_income_Upper Middle,0.020530282550892308,0.01156847333140577,0.07595153495494238,2769,0.5060807227600492
