uc_id,veg_group,high_green,population_2025,un_sdg_reg,wb_income,mean_ring_veg,z_ring_green_support,n_valid_intervals,median_true_night_t2m_c,median_true_night_wetbulb_c,true_night_heat_share,n_source_intervals,valid_core_ring_fraction,log_population,n_mld,mean_gradient_mld,loss_probability_mld,n_dhd,mean_gradient_dhd,loss_probability_dhd,n_extreme_dhd,mean_gradient_extreme_dhd,loss_probability_extreme_dhd,mean_t2m_c,mean_vpd_kpa,mean_rzsm,mean_log1p_pr_sum
7569,high_veg,1,87313.0841,Latin America and the Caribbean,Upper Middle,1124.13988657845,0.6725154299903074,884,17.306949782986123,14.884772718135984,0.08597285067873303,1058,0.8355387523629489,11.377255605740721,144.0,-0.20016249652148455,0.2986111111111111,53.0,0.19931440674583806,0.6037735849056604,46.0,0.06160897132351326,0.5217391304347826,20.30444575043716,0.7233548631558819,0.3042410714868247,0.015747443422387233
7572,low_veg,0,180414.6672,Central and Southern Asia,Lower Middle,839.5283553875237,-0.21452886485958955,922,20.828761112542793,14.117061836892262,0.11496746203904555,1058,0.8714555765595463,12.103013187075089,143.0,-0.01678493079010436,0.5034965034965035,58.0,-0.021700252666175146,0.5517241379310345,48.0,0.10875545334764136,0.6458333333333334,25.16342569710554,1.720597342931482,0.22517532397908988,0.01051875810465733
7573,low_veg,0,162626.7025,Europe,Upper Middle,782.5586011342155,-0.3920856043140338,1052,-0.8215239593505714,-2.8558847870669513,0.09980988593155894,1058,0.994328922495274,11.999212684630109,135.0,-0.3772296994611716,0.34814814814814815,46.0,-0.15787066143030612,0.6304347826086957,24.0,0.08753505923282179,0.5,1.1734571717087727,0.37186374845183623,0.23778758456368976,0.00579489811917122
7574,low_veg,0,111296.7916,Central and Southern Asia,Lower Middle,692.8015122873346,-0.6718301151945517,732,22.448434752087252,20.60518050784823,0.1133879781420765,1058,0.6918714555765595,11.619955710253352,113.0,-0.004263373380399417,0.5752212389380531,37.0,-0.017869480354921693,0.4594594594594595,29.0,-0.17155470741471923,0.27586206896551724,25.211541792149536,0.676491610026483,0.306505566286095,0.03145637275781123
7575,low_veg,0,106978.664,Eastern and South-Eastern Asia,Upper Middle,733.6294896030246,-0.5445821987218744,667,15.860628128051758,14.076585539300364,0.1409295352323838,1058,0.6304347826086957,11.58038469169169,90.0,-0.2558375996631162,0.45555555555555555,45.0,-0.3511514937297936,0.35555555555555557,36.0,-0.4277271147090877,0.3333333333333333,18.360704827081392,0.5906345466205757,0.3423975476056121,0.01532060571808553
7576,low_veg,0,422793.8737,Eastern and South-Eastern Asia,Upper Middle,745.1862003780718,-0.5085635795277031,646,24.109867914985244,22.40600904617755,0.09442724458204334,1058,0.610586011342155,12.954640043043534,94.0,-0.0231497776906491,0.425531914893617,39.0,0.0446347935302088,0.38461538461538464,32.0,-0.22043026009307531,0.34375,26.35415080241991,0.7092364574310908,0.3620801963601903,0.025491468606535443
7577,high_veg,1,295163.9507,Northern America,High income,1547.500945179584,1.9919982004962749,1047,12.277900130790954,9.537304728254032,0.10124164278892073,1058,0.9896030245746692,12.595286246026484,141.0,-0.3051026523180704,0.3829787234042553,57.0,0.32957316909003215,0.7017543859649122,43.0,0.3481627670753465,0.6976744186046512,13.261407388872588,0.5247218983656894,0.35149016489598006,0.017288894294490004
7578,low_veg,0,51353.1593,Latin America and the Caribbean,Upper Middle,817.8648393194707,-0.28204720557525254,932,19.98739047000285,18.69742224071223,0.08047210300429185,1058,0.8809073724007561,10.84648173829373,106.0,0.3029987164039359,0.6226415094339622,38.0,0.042613522663799586,0.5263157894736842,20.0,-0.7318334678639635,0.3,22.100619357162675,0.41410737919372675,0.46429108821106074,0.025285702804442336
7580,low_veg,0,212054.0574,Central and Southern Asia,Lower Middle,644.9243856332703,-0.8210480048372736,1044,22.40539782124179,16.487374371303286,0.09961685823754789,1058,0.9867674858223062,12.264596508886152,192.0,-0.08815198656981488,0.4739583333333333,50.0,0.29496194093754113,0.76,34.0,0.16046520751546756,0.7352941176470589,25.722266923530047,1.8714357869631733,0.13237810698404012,0.003227048737837039
7583,low_veg,0,177943.2508,Central and Southern Asia,Lower Middle,527.4234404536862,-1.1872613575601496,718,22.517379695964337,21.05750187213424,0.11559888579387187,1058,0.6786389413988658,12.089219962711345,114.0,-0.01853574125667779,0.4824561403508772,37.0,0.13806484834397434,0.6756756756756757,25.0,0.22729802664859228,0.64,25.34841107943561,0.639135013629002,0.3138575567565178,0.034660541192729495
7585,low_veg,0,115947.1063,Eastern and South-Eastern Asia,Upper Middle,868.2211720226843,-0.1251024133279417,596,23.78172245025638,22.71830829532466,0.053691275167785234,1058,0.5633270321361059,11.660889385925516,84.0,-0.07865120297754011,0.5476190476190477,43.0,-0.10640828482460613,0.5116279069767442,41.0,-0.13225301970462927,0.4878048780487805,25.088673206778868,0.4366830475915915,0.2626888904619607,0.03666371940031649
7586,low_veg,0,130399.0327,Northern America,High income,685.5264650283553,-0.6945041408703135,1054,8.945126288277805,6.3514177637310665,0.10056925996204934,1058,0.996219281663516,11.77835451050239,112.0,-0.12288264460436142,0.44642857142857145,37.0,0.16313262856894814,0.6486486486486487,28.0,0.5153476374145984,0.8571428571428571,9.458697393893969,0.37750600237625687,0.3300283720890574,0.013848078237315231
7587,low_veg,0,56315.65032,Latin America and the Caribbean,Upper Middle,891.8223062381852,-0.05154512852558153,941,20.056341585101507,18.805124140703086,0.07970244420828905,1058,0.889413988657845,10.938727756315325,119.0,-0.29976381646330663,0.47058823529411764,56.0,0.23976937842898427,0.5714285714285714,26.0,-0.14173656652480252,0.5,21.441060477498972,0.38971692095429084,0.45956730683344144,0.025774689736478146
7588,low_veg,0,806616.9631,Sub-Saharan Africa,Lower Middle,811.1361058601134,-0.3030185436012038,799,23.526193454876648,21.740256313451567,0.11514392991239049,1058,0.7551984877126654,13.60060419157468,125.0,-0.18526390391156566,0.336,51.0,0.12858383523336794,0.6470588235294118,38.0,0.3127706609640574,0.7631578947368421,25.979898684704423,1.0258959783425112,0.2399942595471923,0.02341269238024213
7590,high_veg,1,334539.6854,Central and Southern Asia,Lower Middle,962.3733459357278,0.16834019023703697,1028,21.359660030466273,15.708682093303524,0.10311284046692606,1058,0.9716446124763705,12.72051079246979,176.0,-0.07176081595743385,0.4431818181818182,67.0,0.17320562201576636,0.7313432835820896,58.0,0.041387674423148016,0.5689655172413793,23.726317422990558,1.2957956066078042,0.23083353914055002,0.011409331741198247
7591,low_veg,0,434849.2025,Europe,Upper Middle,877.1805293005671,-0.09717892503632895,1052,-0.8159440496074524,-2.8229340631611417,0.10076045627376426,1058,0.994328922495274,12.982754589050494,127.0,-0.3148358229517881,0.3779527559055118,50.0,0.013153495816735647,0.64,22.0,0.5193629028289729,0.7727272727272727,1.1593089281487676,0.3360236272549817,0.23757709463669893,0.0063118256621514
7594,low_veg,0,68733.62244,Eastern and South-Eastern Asia,Upper Middle,667.1502835538753,-0.7517768974232764,595,23.38890590667728,22.151259878189656,0.05714285714285714,1058,0.5623818525519849,11.137993768095606,71.0,-0.028674745493174704,0.43661971830985913,47.0,-0.49626343164480063,0.2978723404255319,21.0,-0.6461771280435361,0.23809523809523808,25.373279220142727,0.4911255186725777,0.3461573188641011,0.026951896940084503
7595,low_veg,0,77138.46272,Northern America,High income,593.109640831758,-0.982538207194718,1055,8.657010307122277,5.817799321113897,0.1004739336492891,1058,0.997164461247637,11.25335730312185,123.0,-0.21278129690056002,0.44715447154471544,39.0,0.03185205705364677,0.5384615384615384,25.0,0.38492725315677384,0.6,9.112787175082351,0.3559445824793297,0.2709172342428296,0.013200733868085178
7596,high_veg,1,90504.70323,Latin America and the Caribbean,Upper Middle,1184.7750472589792,0.8614960841609527,907,17.75303874424526,16.01477662555943,0.08930540242557883,1058,0.8572778827977315,11.41315709772992,132.0,-0.2692272012235762,0.5,50.0,-0.099372801942372,0.46,43.0,-0.03612752338130779,0.5813953488372093,20.86841096559562,0.6618261540546013,0.3382776034727138,0.018711004802300698
7599,high_veg,1,20453270.03,Central and Southern Asia,Lower Middle,928.4026465028356,0.06246424417850175,895,24.37116900079951,22.172912827391794,0.11173184357541899,1058,0.8459357277882797,16.833653331337338,129.0,-0.06776222798991499,0.4573643410852713,40.0,0.21813366907229473,0.7,25.0,0.17729471631417312,0.6,26.75047400763075,1.0067792185740163,0.25696170459615253,0.025571614711976172
7600,low_veg,0,245015.7896,Europe,Upper Middle,890.3724007561436,-0.05606402619826153,1055,-1.7612409379747191,-4.086021343646926,0.1004739336492891,1058,0.997164461247637,12.409077934797162,136.0,-0.15108462499166045,0.4338235294117647,43.0,0.14329892338565137,0.5813953488372093,33.0,-0.04718081016373799,0.5151515151515151,0.32622451724105184,0.405987237474314,0.20919211229572707,0.004625909412689534
7602,low_veg,0,99989.15363,Eastern and South-Eastern Asia,Upper Middle,458.1672967863894,-1.4031108941770238,644,26.226318073272722,24.44092930430579,0.14285714285714285,1058,0.6086956521739131,11.512816995387617,96.0,-0.031251695729823746,0.6145833333333334,48.0,-0.2207179974429617,0.5416666666666666,33.0,-0.0005020936378744265,0.5151515151515151,27.717030529484617,0.8126793531440925,0.40710202392840394,0.03126053743586359
7603,low_veg,0,72878.55675,Northern America,High income,478.5037807183365,-1.339728493704153,1054,8.454196077488803,5.98808180570928,0.10056925996204934,1058,0.996219281663516,11.196549728636768,116.0,-0.17983854044434475,0.5086206896551724,43.0,0.469567876066569,0.7441860465116279,25.0,0.052981674471820214,0.48,8.970329881205576,0.3415441685671798,0.2090524591628674,0.013114446601723907
