uc_id,un_sdg_reg,wb_income,n_dhd_hot,p_failure,mean_t2m,mean_wetbulb,mean_vpd_pct,mean_rzsm_pct,mean_tc_aet_mm,mean_tc_def_mm,mean_water_support_ratio,ahe_night_wm2,ahe_annual_wm2,ventilation_obstruction_index,built_surface_fraction_2020,mean_building_height_2020,road_density_2024,lcz_compact_share_2025,lcz_natural_share_2025,green_cover_mean_2020
1951,Europe,High income,23,0.6956521739130435,17.66766029671937,15.074046088344428,94.13988657844992,9.262759924385634,49.1,71.16956521739131,0.43539620046756256,,,-0.5232836212920364,0.2349154173913043,8.047488855,0.031588733,2.501,24.069,0.491880194
1952,Europe,High income,23,0.7391304347826086,18.12089589989706,14.77092812205054,93.00567107750472,10.396975425330812,43.73913043478261,87.50869565217391,0.3383681424800899,,,-1.1458687248340689,0.2131728620689655,7.521182528,0.01796392,1.581,25.069000000000003,0.405267742
1955,Europe,High income,24,0.75,23.294825908420574,18.62999695640617,92.93478260869564,9.782608695652174,32.375,123.58333333333333,0.21125286454584857,,,3.5722644909334615,0.2563789655172414,9.046346525,0.018980647,12.641,17.304,0.339171142
1957,Sub-Saharan Africa,Lower Middle,22,0.13636363636363635,16.756260277926454,12.39659273034191,93.67588932806325,9.486166007905139,54.790909090909096,88.26818181818182,0.4044460170907035,,,-3.3716386550656328,0.1686279166666666,6.908673641,0.008264497,0.083,36.631,0.449816276
1963,Europe,High income,15,0.6,18.805246544058495,15.233841123936559,93.91304347826086,6.956521739130435,46.27333333333333,97.76666666666667,0.329006359672313,,,-1.4364995631017425,0.2096399523809523,6.778892233,0.012413845,2.79,16.903000000000002,0.441473089
1965,Sub-Saharan Africa,Upper Middle,9,0.5555555555555556,20.193653666357516,18.32871804845267,94.68599033816425,10.628019323671497,30.84444444444445,111.61111111111111,0.22291926426566006,,,-0.28267860168657855,0.2461462413793103,6.33876521,0.013274512,5.329,12.653000000000002,0.369084586
197,Latin America and the Caribbean,Upper Middle,22,0.5454545454545454,23.169360993125245,21.013947565154908,94.26877470355731,9.683794466403162,112.34545454545454,38.0,0.7653770270166871,,,-2.512856969003255,0.1482418181818181,5.665690239,0.012053843,7.888999999999999,30.073000000000004,0.607024565
198,Latin America and the Caribbean,Lower Middle,35,0.5142857142857142,22.827565394325905,21.261421602484926,95.527950310559,8.695652173913043,72.4,92.78,0.4614296079402363,,,-2.2820579872881814,0.1657802,5.797901058,0.01275804,2.643,15.38,0.545750638
1982,Northern Africa and Western Asia,Upper Middle,16,0.8125,24.214733651984826,21.09656685038888,90.76086956521739,10.326086956521738,11.606250000000001,166.66875000000002,0.06640343189731386,,,-2.2802822913778957,0.1984186,5.903334,0.007876802,1.515,19.694,0.454409173
1985,Sub-Saharan Africa,Low income,21,0.47619047619047616,18.187054565005912,17.305399519596943,94.40993788819875,8.902691511387165,104.02380952380952,30.461904761904766,0.8003173354986014,,,-2.42848095576696,0.1355603800904977,6.111981406,0.007557896,6.289000000000001,44.467,0.349698892
1991,Central and Southern Asia,Lower Middle,14,0.5,18.561935802350003,15.98137901428569,92.54658385093168,9.316770186335404,37.550000000000004,109.39999999999999,0.26417709332985834,10.520239343947894,11.169266029550592,-1.141184999689939,0.2001935952380952,6.434048573,0.012241391,11.146,20.019,0.421579266
1999,Eastern and South-Eastern Asia,Lower Middle,20,0.25,28.042333532942337,25.959848976870852,95.21739130434783,10.217391304347824,130.79500000000002,10.74,0.9290154032503534,,,-2.031221467274235,0.1700142908108108,5.551963448,0.015340519,5.063,29.955,0.461567727
2005,Eastern and South-Eastern Asia,Lower Middle,20,0.35,26.66765122045956,24.316584666881703,95.21739130434783,10.869565217391303,98.01500000000001,50.795,0.6965249776939008,,,-2.0948587086036947,0.137157685064935,4.830091306,0.013679653,6.21,21.002,0.523783703
2006,Australia and New Zealand,High income,8,0.625,20.64320387182569,18.5195132196966,91.84782608695652,9.782608695652174,93.675,37.425,0.7481266237355939,,,-0.2211259996859051,0.1846984166666666,8.941806891,0.013734048,1.13,19.317,0.438507987
2007,Northern America,High income,8,0.5,23.97804421517445,18.209686030507996,94.56521739130434,10.326086956521738,4.362500000000001,172.6375,0.03218092728751151,,,3.5569547168327498,0.3014503583815029,8.916298844,0.021662546,13.284,6.457999999999999,0.249313702
2009,Latin America and the Caribbean,Upper Middle,21,0.09523809523809523,17.094936474251682,15.255738025731933,93.37474120082815,9.937888198757763,87.03333333333333,42.27142857142857,0.6989645821723668,,,-0.5624452194310512,0.181004,6.067728637,0.012211445,15.251,19.374,0.511848021
2014,Latin America and the Caribbean,Upper Middle,44,0.45454545454545453,26.335890001239225,23.36215926510873,94.76284584980236,10.573122529644268,91.23863636363636,77.79318181818182,0.5496622564636545,,,-1.044289394115527,0.171079947368421,5.593997316,0.014858034,13.716,20.14,0.484857132
2015,Latin America and the Caribbean,Upper Middle,53,0.39622641509433965,24.690556636728168,20.456292593511098,94.33962264150944,8.367514356029531,48.264150943396224,110.68301886792455,0.3184187131613486,,,2.85068609713607,0.2215834142857143,6.963326505,0.015005577,26.308,12.922,0.430604814
2024,Europe,High income,10,0.6,25.070292028391133,18.438381891431778,93.04347826086956,9.565217391304348,8.879999999999999,203.31,0.04389064485152068,,,6.607678093998684,0.2553824125,11.27220153,0.026263343,21.384,10.72,0.214659919
2026,Europe,High income,19,0.42105263157894735,13.487718559265133,12.053801071212717,94.73684210526316,9.382151029748282,51.50526315789474,41.22105263157895,0.5722641899273531,,,-2.199364047997764,0.19148048,6.351291014,0.020587908,0.112,19.083,0.454627093
2030,Europe,High income,22,0.7727272727272727,19.703763986673497,15.460312286415116,93.28063241106719,10.474308300395256,34.39090909090909,130.85454545454547,0.21357683379588577,,,0.4436214869898279,0.2555752875,8.827122714,0.02646604,2.815,13.809,0.451818726
2033,Europe,High income,25,0.68,17.94798691599638,15.02430537551128,93.91304347826086,9.739130434782608,44.34400000000001,80.672,0.3754627488834143,,,0.6992857945719663,0.2749517258064516,7.935396002,0.027985772,3.939999999999999,17.102999999999998,0.467709748
2034,Europe,High income,23,0.8695652173913043,18.66716634371699,15.152059279245735,95.84120982986768,10.018903591682419,46.20869565217391,80.84347826086957,0.3650391234399336,,,-1.6037416399206914,0.1931960263157894,7.337608234,0.026268751,2.911,20.776,0.499330965
2038,Sub-Saharan Africa,Lower Middle,21,0.3333333333333333,22.912554435989506,19.15955005961758,93.7888198757764,8.074534161490684,57.266666666666666,88.83333333333333,0.40615912313773184,,,0.5863587819398716,0.2286904166666666,9.986246554,0.012366107,6.55,8.56,0.442779836
2043,Europe,High income,21,0.7619047619047619,18.270539265587228,15.143791652175361,93.16770186335404,9.730848861283643,37.00476190476191,127.01904761904763,0.22754873182347443,,,2.1725334199795046,0.248616294117647,10.06938165,0.014774886,10.337,15.697,0.380373436
2044,Europe,Lower Middle,14,0.7857142857142857,19.294094575864584,15.330609430712826,95.03105590062113,9.627329192546583,34.2,105.14285714285714,0.24553007405360222,,,-0.12336349012292974,0.2345038695652174,9.12222564,0.019594685,4.3149999999999995,13.209,0.46905162
2050,Northern Africa and Western Asia,Lower Middle,19,0.8421052631578947,24.200011261387875,21.94006706427547,90.8466819221968,12.128146453089244,0.05263157894736842,179.7684210526316,0.00031084211717605264,,,0.1298075892128967,0.1798694615384615,6.607212204,0.013209292,26.555,49.303,0.413943173
2053,Sub-Saharan Africa,Lower Middle,44,0.7045454545454546,22.375206157912185,18.70915395915783,94.56521739130434,9.584980237154149,44.263636363636365,102.42045454545455,0.30896490798778115,,,0.3394083376339039,0.2156924457142857,8.220507252,0.01159605,3.071,11.755,0.425228086
2054,Sub-Saharan Africa,Low income,21,0.09523809523809523,21.455722272963765,20.383123845089806,92.96066252587991,9.730848861283643,80.79523809523809,56.7047619047619,0.6018829331100963,,,-1.408114719444124,0.1851685,5.496405745,0.006760894,2.5,11.305,0.556351435
2058,Sub-Saharan Africa,Lower Middle,13,0.23076923076923078,17.618223123089813,14.777383470512074,92.3076923076923,11.036789297658864,60.823076923076925,84.06923076923077,0.45546447693758485,,,-2.3330707322122155,0.15160175,5.452454736,0.008675852,1.25,28.48,0.632802842
206,Latin America and the Caribbean,Upper Middle,47,0.48936170212765956,24.545370371360644,21.396319747608903,92.32192414431083,10.083256244218315,108.42340425531914,34.97446808510638,0.7639361881962603,,,-0.2758495730888937,0.1676561935483871,8.970369681,0.009478414,0.982,9.903,0.633948804
2075,Central and Southern Asia,Lower Middle,32,0.28125,27.911237227302244,25.202847390244447,93.75,10.733695652173912,104.453125,53.565625000000004,0.7085991319889652,0.5584891145952398,0.5954703293617334,-3.806738030798182,0.0508347857142857,2.602249802,0.000217055,0.0,23.565,0.553296279
2082,Eastern and South-Eastern Asia,High income,16,0.6875,24.387923436099303,22.354991981258884,95.1086956521739,9.239130434782608,110.2375,16.675,0.876695760173669,40.72582239215687,31.85663836828496,7.335934627209604,0.2467101176470588,13.44678827,0.019038875,30.199,6.244000000000001,0.293078641
2084,Eastern and South-Eastern Asia,High income,22,0.6363636363636364,24.777625232547948,23.74057413451294,92.68774703557312,9.683794466403162,118.40454545454546,27.345454545454547,0.8231798483193355,4.649315034714289,3.618310921221061,1.400789405907002,0.2561535757575757,8.197568332,0.023693037,9.709,3.781,0.37785564
2086,Australia and New Zealand,High income,14,0.21428571428571427,20.049473381042503,17.625202393787976,92.54658385093168,9.006211180124224,84.96428571428571,79.69285714285715,0.5635566477568752,,,-0.7954620688256041,0.2435328260869565,7.279889971,0.017804874,0.144,18.732000000000003,0.452281889
2087,Northern America,High income,6,0.3333333333333333,20.91278088469045,14.776262308826682,93.4782608695652,12.318840579710143,19.516666666666666,130.66666666666666,0.13069310166641143,18.10969629348821,13.457899041828794,0.5275209748211327,0.2530329516129032,7.550071734,0.025053161,6.251,7.723,0.371448904
2089,Latin America and the Caribbean,Upper Middle,25,0.64,18.997389095596365,16.128558606117632,94.78260869565219,12.17391304347826,74.94,63.576,0.5761177222882943,,,2.624924167493496,0.2121041787234042,9.48363995,0.014467861,22.693,26.642000000000003,0.439370601
2097,Latin America and the Caribbean,High income,16,0.8125,17.31795076271159,13.644868515464843,94.83695652173913,12.771739130434781,3.35625,161.125,0.020134876062782477,,,8.78292788483239,0.2869777777777778,13.86006968,0.022436594,30.249,10.923,0.258624401
2106,Europe,High income,26,0.5,15.682235423869418,13.837818763093763,93.64548494983276,8.862876254180602,49.82692307692308,64.25384615384615,0.45503396154211784,,,-2.0091606293180475,0.2231741052631579,6.702089737,0.024699484,2.219,20.67,0.546407743
2110,Europe,High income,21,0.7619047619047619,17.093814117392647,14.431966588606704,94.824016563147,9.523809523809524,39.2,97.1047619047619,0.2998056139202058,,,0.23286517010736812,0.24015435,8.881881616,0.022713775,3.18,18.647,0.452983608
2113,Europe,High income,25,0.44,17.703847991943384,15.136545214513918,94.2608695652174,9.565217391304348,49.012,67.236,0.4481503161910625,,,-4.142780597000852,0.1560126818181818,6.837417057,0.019693324,0.918,45.856,0.57610963
2114,Europe,High income,25,0.4,18.232430852980862,14.794154825812349,95.1304347826087,10.782608695652172,55.33200000000001,71.8,0.4376132462880505,,,-1.7088616950942375,0.2205981739130434,7.222272669,0.022148932,1.082,17.366,0.516962471
2116,Europe,High income,26,0.7307692307692307,23.394659546470287,18.926149903568323,92.3076923076923,9.364548494983277,37.98846153846154,119.2423076923077,0.24793255654222432,,,3.454266509827395,0.2765666923076923,7.927423541,0.021511008,17.798000000000002,10.803999999999998,0.398293283
2119,Europe,High income,24,0.5833333333333334,18.84308959289837,14.613699789403801,93.84057971014494,9.96376811594203,42.98333333333334,101.375,0.3088974948243345,,,-1.09036541385787,0.2429925238095238,7.614691247,0.022456429,2.036,10.982,0.432696393
