uc_id,share_intervals_sync_positive_burden_q95,mean_tb_night_anom_during_sync_positive_q95,total_weighted_burden_q95,n_sync_positive_intervals_q95,mean_t2m_c,mean_ring_veg,country,wb_income,un_sdg_reg,population_2025,developing_economy,baseline_heat_tertile,baseline_veg_tertile
2246,0.03213610586011342,1.6415388987665729,15937365.494431557,34,14.594486725595464,1117.110586011342,United States,High income,Northern America,285552.8092,0,middle,middle
2249,0.02835538752362949,2.610767493037785,39645288.029749475,30,12.381138934327998,913.9177693761815,Ecuador,Upper Middle,Latin America and the Caribbean,506176.672,1,cooler,lower_veg
225,0.023629489603024575,1.4257988615097958,2095803.445766122,25,26.74264047193617,957.7674858223062,Guinea,Lower Middle,Sub-Saharan Africa,58796.60876,1,hotter,lower_veg
2251,0.01984877126654064,0.94631375212654,11851272.374894537,21,16.850434815483553,948.9952741020794,Colombia,Upper Middle,Latin America and the Caribbean,596362.7838,1,middle,lower_veg
2255,0.024574669187145556,3.034089076749116,28814729.63067001,26,8.621285196302026,1010.765595463138,Canada,High income,Northern America,365269.0491,0,cooler,middle
2263,0.027410207939508508,2.6184807359425277,16705817.31624988,29,12.393823696236101,1181.7533081285444,Spain,High income,Europe,219998.8177,0,cooler,higher_veg
2264,0.036862003780718335,2.506403025620648,121523016.65822555,39,10.272894536566582,1346.8336483931946,United Kingdom,High income,Europe,1243205.803,0,cooler,higher_veg
2268,0.035916824196597356,2.4715748930232717,66953766.93352932,38,14.130422964540843,1662.4130434782608,France,High income,Europe,712881.9928,0,cooler,higher_veg
2271,0.03497164461247637,2.913496923296081,5461329.853106045,37,10.796795782886461,1063.0359168241966,Netherlands,High income,Europe,50661.97543,0,cooler,middle
2272,0.034026465028355386,3.6899654657011305,7345359.450271529,36,9.812134318225748,1013.32797731569,Germany,High income,Europe,55295.30409,0,cooler,middle
2277,0.034026465028355386,3.1498889384296476,7381550.5377859585,36,9.407787888953022,969.562381852552,Poland,High income,Europe,65095.33336,0,cooler,lower_veg
2281,0.031190926275992438,2.5231497321337186,15599513.847676294,33,11.319309105968832,1058.6068052930057,Romania,High income,Europe,187350.1738,0,cooler,middle
2293,0.022684310018903593,0.8519575548213102,1589284.2618761586,24,23.589768747451124,1201.2211720226844,Uganda,Low income,Sub-Saharan Africa,77727.08535,1,hotter,higher_veg
2296,0.031190926275992438,1.2691618729948309,5217707.65426015,33,19.353058289309814,1077.5803402646502,Kenya,Lower Middle,Sub-Saharan Africa,124580.1316,1,middle,middle
231,0.02551984877126654,1.3889170510060396,74048014.42073306,27,16.428622667933702,1223.5,Portugal,High income,Europe,1974573.68,0,middle,higher_veg
2311,0.031190926275992438,1.247981813296678,40684949.27215711,33,23.849373136549996,1368.3497164461248,Nepal,Lower Middle,Central and Southern Asia,987896.8087,1,hotter,higher_veg
2315,0.014177693761814745,0.7427664881888063,212223596.86473024,15,27.835952122094156,1640.5378071833647,Thailand,Upper Middle,Eastern and South-Eastern Asia,19048031.94,1,hotter,higher_veg
2320,0.0330812854442344,2.2915073464064184,12396053.174319265,35,13.056513690305318,910.8969754253308,South Korea,High income,Eastern and South-Eastern Asia,154558.9406,0,cooler,lower_veg
2323,0.027410207939508508,1.1026498334828283,828877857.533871,29,26.57371893784321,2633.662570888469,Philippines,Lower Middle,Eastern and South-Eastern Asia,25921189.32,1,hotter,higher_veg
2324,0.02930056710775047,1.5181435781517036,205916788.7825265,31,17.51490656422257,1604.3232514177694,Australia,High income,Australia and New Zealand,4375394.497,0,middle,higher_veg
2325,0.030245746691871456,1.3966870705618417,6699226.048377795,32,14.93736283845469,1166.9168241965974,United States,High income,Northern America,149890.9945,0,middle,higher_veg
2327,0.02835538752362949,1.2231612400675682,8119509.296449223,30,18.75695869347251,1028.6124763705104,Guatemala,Upper Middle,Latin America and the Caribbean,221271.1628,1,middle,middle
2331,0.02930056710775047,1.1558476016146486,3766545.6256033094,31,25.273931882001378,1182.4035916824196,Cuba,Upper Middle,Latin America and the Caribbean,105118.9375,1,hotter,higher_veg
2334,0.02835538752362949,1.440854680096185,286748809.95730346,30,14.44633168671904,1600.054820415879,Chile,High income,Latin America and the Caribbean,6633766.609,0,middle,higher_veg
2335,0.02930056710775047,2.707316528002126,123221059.30873013,31,17.207030967223844,1505.6540642722118,Argentina,Upper Middle,Latin America and the Caribbean,1468196.585,1,middle,higher_veg
234,0.034026465028355386,1.4945760421319907,10105821.810276005,36,27.708244363775272,924.9810964083176,Burkina Faso,Low income,Sub-Saharan Africa,187824.0147,1,hotter,lower_veg
2345,0.04064272211720227,2.6636712252819406,7628061.402747978,43,11.516965626283858,1000.18809073724,France,High income,Europe,66598.60088,0,cooler,lower_veg
235,0.02835538752362949,2.6357219507401024,34564231.39602015,30,9.577978587524193,1145.4933837429112,United Kingdom,High income,Europe,437125.4131,0,cooler,middle
2350,0.03969754253308128,3.2056153977536908,18033017.989522025,42,10.172619980635073,1176.4385633270322,Germany,High income,Europe,133939.2029,0,cooler,higher_veg
2352,0.03213610586011342,2.002736542152702,10113073.179245623,34,13.947832233249997,1202.6313799621928,Italy,High income,Europe,148518.4509,0,cooler,higher_veg
2355,0.035916824196597356,2.987986624206786,9331546.484348945,38,9.816513311317912,1019.3034026465028,Poland,High income,Europe,82184.77645,0,cooler,middle
2359,0.03497164461247637,2.2151724032509326,161574584.57896343,37,12.432533613181647,1434.6342155009452,Romania,High income,Europe,1971350.247,0,cooler,higher_veg
2365,0.03780718336483932,1.18433303782808,14332347.922457164,40,21.60917437204615,1323.266540642722,Egypt,Lower Middle,Northern Africa and Western Asia,302540.4904,1,hotter,higher_veg
2369,0.030245746691871456,0.8399612134576251,15788261.139243817,32,17.99006228953504,1308.0321361058602,Tanzania,Lower Middle,Sub-Saharan Africa,587388.0278,1,middle,higher_veg
2371,0.017958412098298678,0.9685235865069634,1632336.9542892408,19,21.866250590280558,1186.405482041588,Uganda,Low income,Sub-Saharan Africa,88704.5731,1,hotter,higher_veg
2373,0.026465028355387523,1.5190381984648718,3779836.9717517463,28,18.390774478412027,955.7514177693762,Ethiopia,Low income,Sub-Saharan Africa,88868.19153,1,middle,lower_veg
2374,0.02835538752362949,0.8015106843191421,2252550.1143719773,30,19.071051616374888,954.5671077504726,Kenya,Lower Middle,Sub-Saharan Africa,93679.35485,1,middle,lower_veg
