uc_id,mean_tb_night_anom_DHD,mean_tb_night_anom_extreme_DHD,mean_tb_night_anom_moist_low_demand,mean_dT_night_anom_DHD,mean_dT_night_anom_extreme_DHD,mean_dT_night_anom_moist_low_demand,mean_tb_day_anom_DHD,mean_tb_day_anom_extreme_DHD,mean_tb_day_anom_moist_low_demand,n_rows_DHD,n_rows_extreme_DHD,n_rows_moist_low_demand,tb_penalty_DHD_minus_MLD,tb_penalty_extremeDHD_minus_MLD,mean_t2m_c,mean_ring_veg,country,wb_income,un_sdg_reg,population_2025,developing_economy,baseline_heat_tertile,baseline_veg_tertile
7395,1.3189437691317876,1.768815300087866,-1.1262632399455061,-0.0025325704935611464,-0.0036022837136380492,0.005283276672966482,1.1167252878800429,0.9779314664329981,-0.8324831400843764,54,33,156,2.4452070090772935,2.895078540033372,21.76133535580227,1019.069943289225,Brazil,Upper Middle,Latin America and the Caribbean,470185.155,1,hotter,middle
7399,0.6468783376178089,0.7843777368823962,-0.6073319014987371,-0.10938321114865014,-0.09903442919528492,0.08498604799364617,0.8137575437601209,0.695616655153968,-1.2521353522277454,65,51,186,1.254210239116546,1.3917096383811334,23.181819023944037,1007.0293005671077,Pakistan,Lower Middle,Central and Southern Asia,303835.576,1,hotter,middle
7401,0.07802440045701012,0.3950451425268388,0.011113688629770385,-0.012333626298839138,-0.040037937031453495,0.01965018307058427,0.7383528915656974,1.0083461649202492,-0.6576165248420316,51,47,189,0.06691071182723973,0.3839314538970684,25.196328659275963,1003.547258979206,Bangladesh,Lower Middle,Central and Southern Asia,207890.7982,1,hotter,lower_veg
7409,0.5247345062912727,0.5403697305641996,-0.4410517386007017,-0.06641144424609331,-0.11915322435650598,0.12222611098496106,1.2803807317242206,1.0735582753414088,-1.3077967395142267,56,24,184,0.9657862448919744,0.9814214691649013,25.909341525408603,941.4565217391304,Pakistan,Lower Middle,Central and Southern Asia,135676.1832,1,hotter,lower_veg
7413,0.07867928610158073,0.17241225861429899,0.08491434425210241,0.021240912608024052,-0.011758379093843136,0.010305222612906086,0.5318854753513408,0.6685654949876602,-0.9862690340803887,67,54,213,-0.00623505815052168,0.08749791436219657,26.096419172934766,1171.1606805293006,Indonesia,Upper Middle,Eastern and South-Eastern Asia,464247.9862,1,hotter,higher_veg
7415,1.1371175785335903,1.5036934354707412,-1.1410237516812256,-0.024982380051445485,-0.05200372683656618,0.05168133527396079,0.6997570351086896,1.6941883340762396,-1.1790489304042409,61,47,149,2.278141330214816,2.644717187151967,19.410341633350225,954.952741020794,Brazil,Upper Middle,Latin America and the Caribbean,58639.22388,1,middle,lower_veg
7419,0.5650744491770121,0.8796101633768443,-0.5729093076992497,-0.13813378277535013,-0.12109691607220696,0.09840076819394179,1.2691513909720515,1.4855146680826594,-1.4402495125456893,50,61,187,1.1379837568762619,1.452519471076094,22.566747677368262,932.9839319470699,Pakistan,Lower Middle,Central and Southern Asia,433354.1031,1,hotter,lower_veg
7420,0.15884604700357266,0.6018066653927417,0.325816782645923,-0.048914271138171934,-0.05726064238758815,0.0459588491257043,1.4611757016866476,1.4855576272113111,-1.1324672771486854,52,28,170,-0.16697073564235035,0.27598988274681874,27.177694509009882,907.7741020793951,India,Lower Middle,Central and Southern Asia,94223.70346,1,hotter,lower_veg
7424,0.9828387776203954,1.1330184116465731,-0.9596670568007601,-0.03877907124017086,-0.06425630624729237,-0.0004942179192734097,1.4325994650371505,1.9973712299005715,-1.4310435427516255,61,43,153,1.9425058344211554,2.0926854684473333,13.612562022645397,1801.5879017013233,United States,High income,Northern America,505689.8991,0,cooler,higher_veg
7428,0.7538934868391308,1.0375587454817667,-0.7299243998636203,-0.22964534024638522,-0.3483088932435067,0.2704800164141678,1.0165022710004645,1.7491969529689426,-1.5361916051713926,68,36,184,1.4838178867027512,1.7674831453453872,24.59280389569686,1533.5661625708885,Pakistan,Lower Middle,Central and Southern Asia,5676792.888,1,hotter,higher_veg
7432,-0.019923715280521215,-0.10086732581072015,0.4198755549578822,-0.03335868338218701,-0.0037109642033408517,-0.024269762717515176,0.7081116591096511,0.8230063546164855,-0.8924842666275129,66,65,216,-0.43979927023840343,-0.5207428807686023,25.675407107840517,921.82797731569,Indonesia,Upper Middle,Eastern and South-Eastern Asia,70779.25022,1,hotter,lower_veg
7437,0.27645344399744826,0.4108912741806736,-0.31165721750336195,-0.10873637634380134,-0.12679583216770757,0.09197305549830867,1.0270171735043525,0.9016496209470858,-1.1699633031874535,63,33,199,0.5881106615008103,0.7225484916840356,25.240606024137342,994.0680529300568,Pakistan,Lower Middle,Central and Southern Asia,177323.3503,1,hotter,lower_veg
7439,0.10323146554774255,0.9001078231597514,-0.28836196757748883,-0.10457423178731669,-0.1338636399278308,0.08910861576346557,0.37337938452687414,0.9691192201427437,-0.7617767497708728,57,45,176,0.39159343312523137,1.1884697907372401,25.351567876696286,1307.9385633270322,Bangladesh,Lower Middle,Central and Southern Asia,5175717.307,1,hotter,higher_veg
7442,1.4745815051766138,1.514848178513663,-1.2458321585417873,-0.008124706822044721,-0.053771775735163674,0.02568859512626757,2.448738121334048,2.170230947689171,-1.8542818475035667,48,40,139,2.720413663718401,2.76068033705545,9.5847547818986,953.2911153119093,United States,High income,Northern America,151022.4692,0,cooler,lower_veg
7446,0.6863160576311778,0.30079522900134326,-0.39540402239177275,-0.18128963209582663,-0.10325735149720114,0.14445653097013605,1.3245034537404279,1.3014494827341625,-1.4016335335618098,50,28,188,1.0817200800229505,0.696199251393116,25.725650741638994,973.2712665406427,Pakistan,Lower Middle,Central and Southern Asia,241126.8282,1,hotter,lower_veg
7447,0.11152465764413266,0.06786328003472866,-0.38666948705176923,-6.525999415070837e-06,-0.051000604800661424,0.0451065663875199,0.993726839608291,1.776079284888074,-1.3221624770632736,73,45,186,0.4981941446959019,0.4545327670864979,23.445961402345144,1078.1219281663516,India,Lower Middle,Central and Southern Asia,612643.1876,1,hotter,middle
7449,1.0070641380756993,1.885796597087335,-1.557051626833404,-0.1517737813816237,-0.25252111984564746,0.053270869390222055,1.2165099273034061,1.3291518324813125,-1.1788842011165062,52,48,164,2.5641157649091033,3.442848223920739,14.303536451084272,1084.9669187145557,China,Upper Middle,Eastern and South-Eastern Asia,371212.2285,1,cooler,middle
7451,1.138870615384577,2.1521101871613855,-1.8316864953907666,0.05271914825511565,-0.02330583239663402,-0.013640763380787548,2.6820826134895364,2.2870892626366746,-2.3981187676304896,45,30,128,2.9705571107753435,3.983796682552152,8.801525813420756,973.625708884688,United States,High income,Northern America,64481.20512,0,cooler,lower_veg
7457,0.4083571309926307,0.471167718786525,-0.12740144346885993,-0.008622874466723787,0.00032843853791373516,0.017356504700352677,0.6854732847364101,0.4465159472320187,-0.6921288456639104,49,47,187,0.5357585744614907,0.5985691622553849,25.18326112008398,1016.7561436672968,Bangladesh,Lower Middle,Central and Southern Asia,319323.503,1,hotter,middle
7459,0.04564384567834972,0.23693372144049657,-0.10484901721560859,-0.025590831829563662,-0.06410454097816864,0.13722641396476246,0.6516600011094473,0.7762693029145317,-1.22488415597635,65,52,196,0.1504928628939583,0.34178273865610515,26.667896355404533,1661.4319470699434,Indonesia,Upper Middle,Eastern and South-Eastern Asia,6856993.107,1,hotter,higher_veg
