high_uc_id,low_uc_id,un_sdg_reg,wb_income,population_quintile,night_temperature_tercile,soil_moisture_tercile,match_distance
11490,11582,Central and Southern Asia,Lower Middle,3,2,2,0.44978527205552254
11524,11592,Central and Southern Asia,Lower Middle,3,2,2,0.5153681972875412
11538,5342,Central and Southern Asia,Lower Middle,3,2,2,1.0099417918949964
7273,11414,Central and Southern Asia,Lower Middle,3,2,2,0.6385798537587762
7361,9008,Central and Southern Asia,Lower Middle,3,2,2,1.2378902356339692
7401,11402,Central and Southern Asia,Lower Middle,3,2,2,1.0429706945340458
7546,7164,Central and Southern Asia,Lower Middle,3,2,2,1.243311640624818
9064,8559,Central and Southern Asia,Lower Middle,3,2,2,0.971627889960407
9290,11540,Central and Southern Asia,Lower Middle,3,2,2,0.9545623230535212
9452,11364,Central and Southern Asia,Lower Middle,3,2,2,1.5107244238586317
9710,8614,Central and Southern Asia,Lower Middle,3,2,2,0.9335947385609245
9752,8898,Central and Southern Asia,Lower Middle,3,2,2,0.749235671654042
9828,9852,Central and Southern Asia,Lower Middle,3,2,2,0.35824211713742327
2454,628,Central and Southern Asia,Lower Middle,4,0,0,1.073262135432367
4576,4389,Central and Southern Asia,Lower Middle,4,0,0,0.3117239297628087
2907,4992,Central and Southern Asia,Lower Middle,4,0,1,0.8972344336888317
5392,1236,Central and Southern Asia,Lower Middle,4,0,1,1.0153281990816305
764,1432,Central and Southern Asia,Lower Middle,4,0,1,0.9535142892348346
3371,6141,Central and Southern Asia,Lower Middle,4,1,0,2.2266418925624167
4277,5720,Central and Southern Asia,Lower Middle,4,1,0,1.874504983342497
6571,2304,Central and Southern Asia,Lower Middle,4,1,0,1.524455040913558
7419,4201,Central and Southern Asia,Lower Middle,4,1,0,1.2000094836109927
7646,3315,Central and Southern Asia,Lower Middle,4,1,0,1.0257798009858665
8294,4866,Central and Southern Asia,Lower Middle,4,1,0,1.1498276722306005
10006,6178,Central and Southern Asia,Lower Middle,4,2,0,1.2346649693265896
10132,9780,Central and Southern Asia,Lower Middle,4,2,0,1.5518500413544167
10160,9576,Central and Southern Asia,Lower Middle,4,2,0,1.1852103180362925
10224,9676,Central and Southern Asia,Lower Middle,4,2,0,1.533345236331185
10444,7767,Central and Southern Asia,Lower Middle,4,2,0,1.312418482814679
10502,10462,Central and Southern Asia,Lower Middle,4,2,0,0.39338118707621805
10546,10470,Central and Southern Asia,Lower Middle,4,2,0,0.591342683162576
10642,9984,Central and Southern Asia,Lower Middle,4,2,0,0.6656390967436239
6662,8962,Central and Southern Asia,Lower Middle,4,2,0,0.6966485357950011
6912,5056,Central and Southern Asia,Lower Middle,4,2,0,1.4013931194177975
7021,8102,Central and Southern Asia,Lower Middle,4,2,0,1.6527113514162923
7047,2594,Central and Southern Asia,Lower Middle,4,2,0,1.3427684354521292
7085,6586,Central and Southern Asia,Lower Middle,4,2,0,1.885489240484858
7163,6375,Central and Southern Asia,Lower Middle,4,2,0,0.7002454024048217
7428,7260,Central and Southern Asia,Lower Middle,4,2,0,2.1264424588290938
7447,7008,Central and Southern Asia,Lower Middle,4,2,0,1.6198403789755373
7544,8047,Central and Southern Asia,Lower Middle,4,2,0,0.871956793183325
7638,3528,Central and Southern Asia,Lower Middle,4,2,0,1.0270150248319423
7687,5315,Central and Southern Asia,Lower Middle,4,2,0,1.6427683749567703
7725,8556,Central and Southern Asia,Lower Middle,4,2,0,0.7502723289313
7773,6646,Central and Southern Asia,Lower Middle,4,2,0,1.1256411523495282
7788,7711,Central and Southern Asia,Lower Middle,4,2,0,0.6672951831366849
7794,2457,Central and Southern Asia,Lower Middle,4,2,0,1.562109531194616
8039,6955,Central and Southern Asia,Lower Middle,4,2,0,0.7787459461773869
8252,8946,Central and Southern Asia,Lower Middle,4,2,0,0.9742359255479314
