model,outcome,term,estimate,std_error_cluster_city,ci95_low,ci95_high,t_stat,p_value,n_obs,n_cities,n_times,p_value_holm_within_model
dhd_duration_inversion_0p0,inversion_0p0,z_vpd_pct,0.03337647900689761,0.004676400313583232,0.024210734392274474,0.04254222362152074,7.137215971428097,9.524014495723122e-13,257924,2769,1058,4.762007247861561e-12
dhd_duration_inversion_0p0,inversion_0p0,z_rzsm_pct,-0.037189598584661844,0.005991222070003553,-0.04893239384186881,-0.02544680332745488,-6.20734770805112,5.388628553087407e-10,257924,2769,1058,2.1554514212349626e-09
dhd_duration_inversion_0p0,inversion_0p0,duration_excess_capped,0.005408576550611547,0.0008733669791622083,0.0036967772714536183,0.007120375829769475,6.192788002816196,5.910920829480879e-10,257924,2769,1058,2.1554514212349626e-09
dhd_duration_inversion_0p0,inversion_0p0,duration_x_storage,0.004033609009571171,0.0007939051324966612,0.0024775549498777145,0.005589663069264627,5.080719149511398,3.7600867762691636e-07,257924,2769,1058,7.520173552538327e-07
dhd_duration_inversion_0p1,inversion_0p1,z_t2m_true_night_pct_rank,0.0023186930647476306,0.0012850796292356863,-0.0002000630085543147,0.004837449138049576,1.8043185900679914,0.07118137712800074,257924,2769,1058,0.07118137712800074
dhd_duration_inversion_0p1,inversion_0p1,z_vpd_pct,0.03432438769552273,0.004298602839084345,0.02589912613091741,0.042749649260128045,7.985010241800855,1.4051063931476478e-15,257924,2769,1058,7.025531965738239e-15
dhd_duration_inversion_0p1,inversion_0p1,z_rzsm_pct,-0.03948461742582186,0.005657335922563124,-0.05057299583404558,-0.028396239017598135,-6.979365900537311,2.9651530063374235e-12,257924,2769,1058,1.1860612025349694e-11
dhd_duration_inversion_0p1,inversion_0p1,duration_excess_capped,0.0037780100183613273,0.000797456755166354,0.0022149947782352736,0.005341025258487381,4.737573534721908,2.1629238322274814e-06,257924,2769,1058,4.325847664454963e-06
dhd_duration_inversion_0p1,inversion_0p1,duration_x_storage,0.004034184461046289,0.0006924808409573993,0.002676922012769787,0.005391446909322792,5.825698304474056,5.687427987539512e-09,257924,2769,1058,1.706228396261854e-08
dhd_duration_inversion_0p25,inversion_0p25,z_t2m_true_night_pct_rank,0.006377130320142633,0.0010961076731620715,0.004228759280744973,0.008525501359540293,5.817977992751178,5.9563741448591385e-09,257924,2769,1058,1.1912748289718277e-08
dhd_duration_inversion_0p25,inversion_0p25,z_vpd_pct,0.024884241702108637,0.0037213289092408383,0.017590437039996593,0.03217804636422068,6.686923491314046,2.2791095176377016e-11,257924,2769,1058,9.116438070550806e-11
dhd_duration_inversion_0p25,inversion_0p25,z_rzsm_pct,-0.041008947899957966,0.004906989372592605,-0.05062664707023947,-0.03139124872967646,-8.357252234742647,6.41959455731271e-17,257924,2769,1058,3.209797278656355e-16
