uc_id,ring_definition,veg_group,mean_core_minus_ring_anom_DHD,mean_core_minus_ring_anom_MLD,p_compound_hot_anom_DHD,p_compound_hot_anom_MLD,compound_loss_dhd_minus_mld,gradient_shift_dhd_minus_mld
6111,ring5_15,low_veg,-0.0449041602392891,-0.07898084137099573,0.12,0.037037037037037035,0.08296296296296296,0.03407668113170663
6112,ring10_20,low_veg,0.15727409065433198,-0.41164308122618976,0.07575757575757576,0.04,0.03575757575757576,0.5689171718805217
6112,ring20_30,low_veg,0.21347109445697213,-0.3304141766791315,0.12121212121212122,0.04,0.08121212121212121,0.5438852711361036
6112,ring5_15,low_veg,0.16256220790130707,-0.40453889343237426,0.06060606060606061,0.032,0.028606060606060607,0.5671011013336813
6114,ring10_20,high_veg,-0.13231874385786566,0.12619190291644872,0.10743801652892562,0.011111111111111112,0.09632690541781451,-0.25851064677431435
6114,ring20_30,high_veg,-0.14834428679133746,0.10813586142725519,0.0743801652892562,0.016666666666666666,0.05771349862258954,-0.25648014821859266
6114,ring5_15,high_veg,-0.14647760826569867,0.12635593386559912,0.09090909090909091,0.005555555555555556,0.08535353535353536,-0.2728335421312978
6116,ring10_20,high_veg,-0.057305724733038146,-0.017814390073224596,0.13580246913580246,0.0072992700729927005,0.12850319906280977,-0.039491334659813554
6116,ring20_30,high_veg,-0.08217618787972275,-0.056745714436749486,0.12345679012345678,0.0072992700729927005,0.11615752005046408,-0.025430473442973264
6116,ring5_15,high_veg,-0.03349501472203643,-0.014115679722919628,0.13580246913580246,0.0072992700729927005,0.12850319906280977,-0.0193793349991168
6121,ring10_20,high_veg,0.1895185762696169,-0.2788073206493238,0.13,0.006802721088435374,0.12319727891156464,0.46832589691894067
6121,ring20_30,high_veg,0.40843059639958196,-0.2982250291903342,0.1,0.02040816326530612,0.07959183673469389,0.7066556255899161
6121,ring5_15,high_veg,0.25475800483506916,-0.14050786537366136,0.16,0.02040816326530612,0.13959183673469389,0.3952658702087305
6125,ring10_20,low_veg,0.14373004374641787,-0.18339835182991254,0.19444444444444445,0.010582010582010581,0.18386243386243387,0.32712839557633044
6125,ring20_30,low_veg,0.14381698585533242,-0.10435724242479488,0.17592592592592593,0.010582010582010581,0.16534391534391535,0.2481742282801273
6125,ring5_15,low_veg,,,0.0,0.0,0.0,
6126,ring10_20,low_veg,-0.017425329659698535,-0.050270659491064226,0.0851063829787234,0.0064516129032258064,0.0786547700754976,0.03284532983136569
6126,ring20_30,low_veg,-0.12529779430394264,0.01642430434766067,0.06382978723404255,0.012903225806451613,0.05092656142759094,-0.14172209865160332
6126,ring5_15,low_veg,,,0.0,0.0,0.0,
6129,ring10_20,low_veg,-0.49227857294226046,-0.23108934539351764,0.050505050505050504,0.02857142857142857,0.021933621933621934,-0.26118922754874285
6129,ring20_30,low_veg,-0.30327652707864894,-0.3325850451736408,0.06060606060606061,0.01904761904761905,0.04155844155844156,0.029308518094991853
6129,ring5_15,low_veg,-0.1079556263993527,0.043452929314767845,0.09090909090909091,0.02857142857142857,0.062337662337662345,-0.15140855571412054
6130,ring10_20,high_veg,-0.014599059660258783,-0.06897119403088639,0.12658227848101267,0.015151515151515152,0.11143076332949751,0.05437213437062761
6130,ring20_30,high_veg,0.06937380096176327,-0.019061692405159675,0.1518987341772152,0.015151515151515152,0.13674721902570003,0.08843549336692294
6130,ring5_15,high_veg,-0.008007025646236347,-0.10991728549046004,0.13924050632911392,0.015151515151515152,0.12408899117759876,0.1019102598442237
6131,ring10_20,high_veg,0.21127266493684302,-0.1550985605084905,0.1485148514851485,0.005405405405405406,0.1431094460797431,0.3663712254453335
6131,ring20_30,high_veg,0.2747444311578654,-0.09377014597881399,0.13861386138613863,0.005405405405405406,0.13320845598073322,0.3685145771366794
6131,ring5_15,high_veg,0.29251374197955315,-0.17427254843397538,0.18811881188118812,0.005405405405405406,0.1827134064757827,0.46678629041352854
6134,ring10_20,low_veg,-0.18045753601684236,0.09343425105328201,0.13157894736842105,0.02702702702702703,0.10455192034139402,-0.2738917870701244
6134,ring20_30,low_veg,-0.31372977626696985,0.2117175432349139,0.07894736842105263,0.036036036036036036,0.04291133238501659,-0.5254473195018837
6134,ring5_15,low_veg,-0.29236971859352484,0.10601712303659117,0.09210526315789473,0.036036036036036036,0.056069227121858696,-0.398386841630116
6135,ring10_20,low_veg,0.11041141871679779,-0.27934699712762523,0.045454545454545456,0.0,0.045454545454545456,0.389758415844423
6135,ring20_30,low_veg,0.13509579544035538,-0.04759633881598183,0.056818181818181816,0.009009009009009009,0.04780917280917281,0.1826921342563372
6135,ring5_15,low_veg,0.12694359622789328,-0.067507517957814,0.045454545454545456,0.009009009009009009,0.03644553644553645,0.19445111418570726
6139,ring10_20,low_veg,0.01038558239466282,0.043734576773096105,0.1568627450980392,0.012738853503184714,0.1441238915948545,-0.033348994378433285
6139,ring20_30,low_veg,0.08523941047359562,0.12971769150591822,0.13725490196078433,0.01910828025477707,0.11814662170600726,-0.0444782810323226
6139,ring5_15,low_veg,0.033941096118264326,-0.007472609332101012,0.1568627450980392,0.012738853503184714,0.1441238915948545,0.04141370545036534
614,ring10_20,low_veg,0.31906913292131994,-0.029798179368876188,0.1794871794871795,0.034482758620689655,0.14500442086648985,0.34886731229019613
614,ring20_30,low_veg,0.25557886088208814,0.1605993228949916,0.1282051282051282,0.034482758620689655,0.09372236958443854,0.09497953798709655
614,ring5_15,low_veg,0.6728759456731369,0.2509888415029346,0.1794871794871795,0.020689655172413793,0.15879752431476568,0.4218871041702023
6141,ring10_20,low_veg,0.2849684103753505,-0.2623972148661319,0.10416666666666667,0.014925373134328358,0.08924129353233831,0.5473656252414824
6141,ring20_30,low_veg,,,0.0,0.0,0.0,
6141,ring5_15,low_veg,0.41058105483949037,-0.3514643788566224,0.10416666666666667,0.014925373134328358,0.08924129353233831,0.7620454336961128
6142,ring10_20,low_veg,0.04658601070846169,-0.181244561107714,0.06578947368421052,0.005988023952095809,0.059801449732114716,0.2278305718161757
6142,ring20_30,low_veg,0.16564462250171072,-0.029542103469782293,0.07894736842105263,0.011976047904191617,0.06697132051686101,0.195186725971493
6142,ring5_15,low_veg,0.12698799430274968,-0.11156300619982201,0.09210526315789473,0.005988023952095809,0.08611723920579892,0.2385510005025717
6143,ring10_20,high_veg,0.16458763344970062,-0.24489280473982739,0.13333333333333333,0.02,0.11333333333333333,0.409480438189528
6143,ring20_30,high_veg,0.23341961680907258,-0.3014864782920963,0.13333333333333333,0.013333333333333334,0.12,0.5349060951011688
6143,ring5_15,high_veg,0.21990514310613682,-0.20057114783560784,0.14444444444444443,0.02,0.12444444444444443,0.42047629094174466
6146,ring10_20,low_veg,-0.027060225811829226,-0.061425650401522654,0.13592233009708737,0.0,0.13592233009708737,0.034365424589693425
6146,ring20_30,low_veg,0.11344281289477569,0.04809401288575207,0.17475728155339806,0.0,0.17475728155339806,0.06534880000902363
6146,ring5_15,low_veg,0.10703980228708779,0.013230504891404805,0.1650485436893204,0.0,0.1650485436893204,0.09380929739568299
6148,ring10_20,high_veg,0.006326026649599442,-0.12904828772107024,0.1276595744680851,0.01948051948051948,0.10817905498756561,0.13537431437066968
6148,ring20_30,high_veg,-0.08707188450626811,-0.15509797385489868,0.1276595744680851,0.025974025974025976,0.10168554849405911,0.06802608934863057
6148,ring5_15,high_veg,-0.05136158743989858,-0.11531991504450265,0.1276595744680851,0.025974025974025976,0.10168554849405911,0.06395832760460407
6150,ring10_20,high_veg,-0.084220756845639,-0.004524132758853478,0.11666666666666667,0.011049723756906077,0.10561694290976059,-0.07969662408678552
6150,ring20_30,high_veg,-0.05960251361585023,0.009772427631086095,0.08333333333333333,0.0055248618784530384,0.07780847145488029,-0.06937494124693633
6150,ring5_15,high_veg,-0.02806060176285834,-0.008563722009532648,0.11666666666666667,0.0055248618784530384,0.11114180478821363,-0.01949687975332569
6152,ring10_20,high_veg,-0.3728083097483977,0.05050574989973727,0.12048192771084337,0.02127659574468085,0.09920533196616252,-0.42331405964813495
6152,ring20_30,high_veg,-0.3943968732066255,0.07237957880609205,0.12048192771084337,0.02127659574468085,0.09920533196616252,-0.46677645201271756
6152,ring5_15,high_veg,-0.33195882918446495,0.009927327878023858,0.12048192771084337,0.02127659574468085,0.09920533196616252,-0.3418861570624888
6155,ring10_20,low_veg,0.06659963298020878,-0.024981212717768563,0.0625,0.0,0.0625,0.09158084569797734
6155,ring20_30,low_veg,-0.048405807968334234,0.08860792192205094,0.041666666666666664,0.0,0.041666666666666664,-0.13701372989038518
6155,ring5_15,low_veg,0.049924341381179536,-0.016220668028285205,0.08333333333333333,0.0,0.08333333333333333,0.06614500940946474
6161,ring10_20,low_veg,-0.42803849961919227,0.26090998827020817,0.043010752688172046,0.02040816326530612,0.022602589422865926,-0.6889484878894004
6161,ring20_30,low_veg,-0.20352213085428705,0.19113700621452276,0.043010752688172046,0.02040816326530612,0.022602589422865926,-0.39465913706880984
6161,ring5_15,low_veg,-0.466341593636223,0.23375368826476098,0.043010752688172046,0.027210884353741496,0.01579986833443055,-0.700095281900984
6164,ring10_20,low_veg,-0.46659103592483836,0.015089850852873454,0.0625,0.022222222222222223,0.04027777777777777,-0.4816808867777118
6164,ring20_30,low_veg,-0.20982948622440348,-0.06357248032668017,0.07291666666666667,0.03333333333333333,0.03958333333333334,-0.1462570058977233
6164,ring5_15,low_veg,-0.2635182532955325,0.12828136245870203,0.052083333333333336,0.03333333333333333,0.018750000000000003,-0.39179961575423455
