rho_raw,rho_harmonized,n_bounded_configurations,fraction_downstream_gain,fraction_downstream_damage,fraction_boundary,minimum_standardized_gain,p05_standardized_gain,median_standardized_gain,p95_standardized_gain,maximum_standardized_gain,bounded_regime
0.78,0.09,1260,0.06507936507936508,0.9349206349206349,0.0,-1.350888228299643,-1.0509402583423033,-0.4869246798051878,0.026661355529131934,0.25860975609756087,parameter_dependent
0.78,0.1,1260,0.06507936507936508,0.9349206349206349,0.0,-1.332859690844233,-1.0349467168998923,-0.47723451306336295,0.032231891097167155,0.262560975609756,parameter_dependent
0.78,0.11,1260,0.06825396825396825,0.9317460317460318,0.0,-1.3148311533888226,-1.018953175457481,-0.46672180640574057,0.038084310430833095,0.2665121951219511,parameter_dependent
0.78,0.12,1260,0.07142857142857142,0.9285714285714286,0.0,-1.2968026159334125,-1.0029596340150697,-0.45686773960385824,0.04393672976449903,0.27046341463414625,parameter_dependent
0.78,0.13,1260,0.0746031746031746,0.9253968253968254,0.0,-1.2787740784780022,-0.9869660925726587,-0.44736763692556725,0.04978914909816497,0.2744146341463414,parameter_dependent
0.78,0.14,1260,0.07936507936507936,0.9206349206349206,0.0,-1.260745541022592,-0.9709725511302474,-0.4369307157332566,0.054897117277954294,0.2783658536585365,parameter_dependent
0.78,0.15,1260,0.08095238095238096,0.919047619047619,0.0,-1.2427170035671817,-0.9549790096878363,-0.4278929435842562,0.05978363832077505,0.2823170731707316,parameter_dependent
0.78,0.16,1260,0.08412698412698413,0.9158730158730158,0.0,-1.2246884661117716,-0.9390032266533643,-0.41949263332774434,0.0643039827771798,0.28626829268292675,parameter_dependent
0.78,0.17,1260,0.08968253968253968,0.9103174603174603,0.0,-1.2066599286563613,-0.9231142403318542,-0.41001586380905425,0.06900051852812372,0.2902195121951219,parameter_dependent
0.78,0.18,1260,0.09603174603174604,0.903968253968254,0.0,-1.188631391200951,-0.9071569613274173,-0.4006632879235159,0.07447797060059588,0.294170731707317,parameter_dependent
0.78,0.19,1260,0.09841269841269841,0.9015873015873016,0.0,-1.1706028537455409,-0.8921934015363375,-0.39180821958470885,0.07942359279528703,0.2981219512195121,parameter_dependent
0.78,0.2,1260,0.10158730158730159,0.8984126984126984,0.0,-1.1525743162901307,-0.875176475321092,-0.38391843670672426,0.08432059379984741,0.30207317073170725,parameter_dependent
0.78,0.21,1260,0.10476190476190476,0.8952380952380953,0.0,-1.1345457788347204,-0.8609135406300139,-0.37526124818577644,0.08917739161137442,0.3060243902439024,parameter_dependent
