stage_id,analysis_role,reference_platform,source_platform,event_time_id,event_year,event_step8,start_date,end_date,fixed_candidate_cities,analyzed_cities_with_hourly_rows,hourly_city_event_rows,eligible_transition_city_events
initial_model_evaluation_original_2025,temporal_sensor_evaluation,GOES18,GOES19,1036,2025,25,2025-07-12,2025-07-19,51,44,415,43
initial_model_evaluation_original_2025,temporal_sensor_evaluation,GOES18,GOES19,1037,2025,26,2025-07-20,2025-07-27,51,44,407,44
initial_model_evaluation_original_2025,temporal_sensor_evaluation,GOES18,GOES19,1038,2025,27,2025-07-28,2025-08-04,51,44,402,44
initial_model_evaluation_original_2025,temporal_sensor_evaluation,GOES18,GOES19,1039,2025,28,2025-08-05,2025-08-12,51,44,420,43
initial_model_evaluation_original_2025,temporal_sensor_evaluation,GOES18,GOES19,1040,2025,29,2025-08-13,2025-08-20,51,44,427,43
initial_model_evaluation_original_2025,temporal_sensor_evaluation,GOES18,GOES19,1041,2025,30,2025-08-21,2025-08-28,51,44,439,44
initial_model_evaluation_original_2025,temporal_sensor_evaluation,GOES18,GOES19,1042,2025,31,2025-08-29,2025-09-05,51,44,436,44
metric_aware_calibration_combined_2025,metric_specific_model_calibration,GOES18,GOES19,1033,2025,22,2025-06-18,2025-06-25,94,75,724,74
metric_aware_calibration_combined_2025,metric_specific_model_calibration,GOES18,GOES19,1034,2025,23,2025-06-26,2025-07-03,94,75,693,74
metric_aware_calibration_combined_2025,metric_specific_model_calibration,GOES18,GOES19,1035,2025,24,2025-07-04,2025-07-11,94,75,707,74
metric_aware_calibration_combined_2025,metric_specific_model_calibration,GOES18,GOES19,1036,2025,25,2025-07-12,2025-07-19,94,75,713,74
metric_aware_calibration_combined_2025,metric_specific_model_calibration,GOES18,GOES19,1037,2025,26,2025-07-20,2025-07-27,94,75,699,71
metric_aware_calibration_combined_2025,metric_specific_model_calibration,GOES18,GOES19,1038,2025,27,2025-07-28,2025-08-04,94,75,692,74
metric_aware_calibration_combined_2025,metric_specific_model_calibration,GOES18,GOES19,1039,2025,28,2025-08-05,2025-08-12,94,75,713,71
metric_aware_calibration_combined_2025,metric_specific_model_calibration,GOES18,GOES19,1040,2025,29,2025-08-13,2025-08-20,94,75,725,72
metric_aware_calibration_combined_2025,metric_specific_model_calibration,GOES18,GOES19,1041,2025,30,2025-08-21,2025-08-28,94,75,736,75
metric_aware_calibration_combined_2025,metric_specific_model_calibration,GOES18,GOES19,1042,2025,31,2025-08-29,2025-09-05,94,75,741,74
metric_aware_validation_combined_2026,prospective_temporal_holdout,GOES18,GOES19,2001,2026,1,2026-06-01,2026-06-08,94,75,703,72
metric_aware_validation_combined_2026,prospective_temporal_holdout,GOES18,GOES19,2002,2026,2,2026-06-09,2026-06-16,94,75,717,75
metric_aware_validation_combined_2026,prospective_temporal_holdout,GOES18,GOES19,2003,2026,3,2026-06-17,2026-06-24,94,75,725,74
metric_aware_validation_combined_2026,prospective_temporal_holdout,GOES18,GOES19,2004,2026,4,2026-06-25,2026-07-02,94,75,701,70
metric_aware_validation_combined_2026,prospective_temporal_holdout,GOES18,GOES19,2005,2026,5,2026-07-03,2026-07-10,94,75,721,72
metric_aware_validation_combined_2026,prospective_temporal_holdout,GOES18,GOES19,2006,2026,6,2026-07-11,2026-07-18,94,75,728,75
metric_aware_validation_combined_2026,prospective_temporal_holdout,GOES18,GOES19,2007,2026,7,2026-07-19,2026-07-26,94,75,730,75
metric_aware_validation_combined_2026,prospective_temporal_holdout,GOES18,GOES19,2008,2026,8,2026-07-27,2026-08-03,94,75,719,75
