metric,veg_group,un_sdg_reg,total_person_intervals,represented_population,n_cities,mean_event_interval_share,burden_share,population_share
true_failure_local_t2m_p95,high_veg,Europe,2346237660.75351,223217235.13468,642,0.00920298688526521,0.14155809349380316,0.11084587244554604
true_failure_local_t2m_p95,high_veg,Latin America and the Caribbean,2351257154.9101,220584877.94395,367,0.008395873145052874,0.14186094006173436,0.10953868875420285
true_failure_local_t2m_p95,high_veg,Northern Africa and Western Asia,279547304.35234,83418939.76188,80,0.004962192816635161,0.016866229754721573,0.04142442294300885
true_failure_local_t2m_p95,high_veg,Northern America,913500417.13709,131938633.7179,247,0.0065894706229001326,0.055115208326419286,0.06551847555548268
true_failure_local_t2m_p95,high_veg,Sub-Saharan Africa,1186037060.13589,156802192.46027,212,0.00699967899561294,0.07155845626990394,0.07786529482880723
true_failure_local_t2m_p95,low_veg,Australia and New Zealand,6340330.30378,1860601.33045,17,0.003391526743022351,0.0015358369201239962,0.0024605828394205784
true_failure_local_t2m_p95,low_veg,Central and Southern Asia,846736889.71178,182297701.19666,639,0.005242122763888519,0.205107575558801,0.2410825940459984
true_failure_local_t2m_p95,low_veg,Eastern and South-Eastern Asia,1464546550.63457,238431964.35072,1022,0.005385304029683449,0.35476143291207113,0.3153182738554892
true_failure_local_t2m_p95,low_veg,Europe,493348011.07103,60214319.3795,366,0.006781534393174047,0.11950514461697688,0.07963141728849217
true_failure_local_t2m_p95,low_veg,Latin America and the Caribbean,279100201.0315,44567009.25012,153,0.0053807282207148765,0.0676072653348441,0.05893837458378103
true_failure_local_t2m_p95,low_veg,Northern Africa and Western Asia,311280976.88505,88350044.80646001,193,0.003937432049913318,0.07540250963696679,0.11683997025855974
true_failure_local_t2m_p95,low_veg,Northern America,119068169.09465,20886449.357359998,121,0.005889796747332407,0.028842233976060647,0.027621628569252526
true_failure_local_t2m_p95,low_veg,Oceania,912970.2478499999,213232.14781,2,0.004253308128544423,0.00022115147735865317,0.00028199236189258324
true_failure_local_t2m_p95,low_veg,Sub-Saharan Africa,606923413.71724,119341527.34073,257,0.005067927886843247,0.14701684956679686,0.15782516619711365
true_failure_t2m_ge25,high_veg,Australia and New Zealand,0.0,15832493.92726,23,0.0,0.0,0.007862146492841695
true_failure_t2m_ge25,high_veg,Central and Southern Asia,10450391431.4605,470098539.14864,454,0.015287342921146207,0.4978003306199206,0.23344291795330047
true_failure_t2m_ge25,high_veg,Eastern and South-Eastern Asia,7704861329.59781,711869352.66036,746,0.007590577598483659,0.36701807223295563,0.35350218102681014
true_failure_t2m_ge25,high_veg,Europe,38559837.607319996,223217235.13468,642,0.00012661284148661142,0.001836782864590912,0.11084587244554604
true_failure_t2m_ge25,high_veg,Latin America and the Caribbean,1197224535.43544,220584877.94395,367,0.004906177405314639,0.057029325023354796,0.10953868875420285
true_failure_t2m_ge25,high_veg,Northern Africa and Western Asia,125631321.59536,83418939.76188,80,0.0019139886578449904,0.0059843991334253355,0.04142442294300885
true_failure_t2m_ge25,high_veg,Northern America,761347303.39579,131938633.7179,247,0.006371352257333752,0.03626648263203305,0.06551847555548268
true_failure_t2m_ge25,high_veg,Sub-Saharan Africa,715123033.01429,156802192.46027,212,0.0015426044155936798,0.03406460749371974,0.07786529482880723
true_failure_t2m_ge25,low_veg,Australia and New Zealand,1952267.817,1860601.33045,17,0.0011119759813188034,0.00023529590315396243,0.0024605828394205784
true_failure_t2m_ge25,low_veg,Central and Southern Asia,2728105564.24283,182297701.19666,639,0.014381817052282187,0.32880328049676955,0.2410825940459984
