metric,veg_group,year,mean_frac_event,p90_frac_event,max_frac_event,mean_concurrent_exposed_population,max_concurrent_exposed_population,represented_population,n_cities,population_exposed_at_least_once,cities_exposed_at_least_once,share_represented_pop_exposed_at_least_once,period
true_failure_local_t2m_p90,low_veg,2016,0.008044263067022444,0.0184115523465704,0.0368231046931408,6011737.916625218,26969926.39644,756162849.15981,2770,180848081.06935,649,0.23916552005999037,2015-2020
true_failure_local_t2m_p90,low_veg,2017,0.0075655313137655,0.030144404332129962,0.048014440433213,4665503.089358696,33302495.80017,756162849.15981,2770,150865368.51957,599,0.19951438858335874,2015-2020
true_failure_local_t2m_p90,low_veg,2018,0.00851514675875059,0.03032490974729242,0.052346570397111915,5848131.47737326,40291680.09179,756162849.15981,2770,173381931.89759,674,0.2292917882573029,2015-2020
true_failure_local_t2m_p90,low_veg,2019,0.011450321770522682,0.03032490974729242,0.05812274368231047,7724777.375043913,45778830.133370005,756162849.15981,2770,220048183.28095,877,0.29100634013618976,2015-2020
true_failure_local_t2m_p90,low_veg,2020,0.00947261026526448,0.024548736462093865,0.047292418772563176,8125740.459330218,38497833.02644,756162849.15981,2770,202949229.38187,755,0.26839354724629966,2015-2020
true_failure_local_t2m_p90,low_veg,2021,0.00977083660335897,0.0315884476534296,0.06064981949458484,6932517.979126956,36773211.55481,756162849.15981,2770,182843834.65069,724,0.24180483721707832,2021-2025
true_failure_local_t2m_p90,low_veg,2022,0.01170930780097316,0.04620938628158845,0.0776173285198556,7679535.444339782,38966181.2206,756162849.15981,2770,209310083.86483,879,0.2768055639038592,2021-2025
true_failure_local_t2m_p90,low_veg,2023,0.013365248783550462,0.034476534296028885,0.04945848375451264,11295722.303013261,48979423.46276,756162849.15981,2770,276493682.19171,925,0.36565361879247116,2021-2025
true_failure_local_t2m_p90,low_veg,2024,0.018741170930780097,0.04296028880866426,0.06173285198555957,15032375.18856087,39611024.91909,756162849.15981,2770,316076313.72659,1177,0.41800032106548174,2021-2025
true_failure_local_t2m_p90,low_veg,2025,0.011599434939569928,0.0407942238267148,0.06498194945848375,9324732.130701305,52962275.32564,756162849.15981,2770,223144667.51569,817,0.295101336654705,2021-2025
