uc_id,day_valid_frac_core,day_valid_frac_ring10_20,night_valid_frac_core,night_valid_frac_ring10_20,retain_day_fullperiod,retain_night_fullperiod,retain_either_fullperiod
9020,0.6238185255198487,0.7315689981096408,0.6011342155009451,0.722117202268431,True,True,True
9023,0.7977315689981096,0.9281663516068053,0.8185255198487713,0.94234404536862,True,True,True
9025,0.9035916824196597,0.9773156899810964,0.9272211720226843,0.9839319470699432,True,True,True
9027,0.8572778827977315,0.9499054820415879,0.8431001890359168,0.9584120982986768,True,True,True
9028,0.8062381852551985,0.7608695652173914,0.8903591682419659,0.8790170132325141,True,True,True
9029,0.9111531190926276,0.9102079395085066,0.9045368620037807,0.8941398865784499,True,True,True
903,0.6153119092627599,0.5982986767485823,0.5085066162570888,0.4924385633270321,True,False,True
9030,0.8638941398865785,0.9120982986767486,0.6512287334593573,0.7155009451795841,True,True,True
9033,0.7948960302457467,0.8818525519848771,0.7561436672967864,0.888468809073724,True,True,True
9034,0.6559546313799622,0.8289224952741021,0.6455576559546313,0.7835538752362949,True,True,True
9035,0.7618147448015122,0.9555765595463138,0.7665406427221172,0.9688090737240076,True,True,True
9036,0.6559546313799622,0.7844990548204159,0.6209829867674859,0.6824196597353497,True,True,True
9037,0.6814744801512287,0.8223062381852552,0.6965973534971645,0.834593572778828,True,True,True
9043,0.6219281663516069,0.8780718336483931,0.6294896030245747,0.8922495274102079,True,True,True
9047,0.6701323251417769,0.9017013232514177,0.718336483931947,0.9262759924385633,True,True,True
905,0.8780718336483931,0.9735349716446124,0.9130434782608695,0.9924385633270322,True,True,True
9051,0.9083175803402647,0.9584120982986768,0.9310018903591682,0.9801512287334594,True,True,True
9052,0.6880907372400756,0.718336483931947,0.6691871455576559,0.7013232514177694,True,True,True
9054,0.8686200378071833,0.9347826086956522,0.6455576559546313,0.7051039697542533,True,True,True
9055,0.7060491493383743,0.8591682419659735,0.7088846880907372,0.8657844990548205,True,True,True
906,0.9347826086956522,0.9810964083175804,0.9338374291115312,0.9631379962192816,True,True,True
9061,0.6493383742911153,0.7580340264650284,0.6776937618147448,0.8676748582230623,True,True,True
9064,0.7381852551984878,0.7438563327032136,0.724007561436673,0.7041587901701323,True,True,True
9067,0.6379962192816635,0.8534971644612477,0.6540642722117203,0.8752362948960303,True,True,True
9069,0.6739130434782609,0.8516068052930057,0.6852551984877127,0.8629489603024575,True,True,True
907,0.9886578449905482,0.9896030245746692,0.9877126654064272,0.9924385633270322,True,True,True
9071,0.6190926275992439,0.774102079395085,0.6616257088846881,0.8714555765595463,True,True,True
9073,0.8137996219281664,0.9688090737240076,0.8572778827977315,0.9839319470699432,True,True,True
9075,0.4962192816635161,0.7032136105860114,0.505671077504726,0.7098298676748582,False,True,True
9076,0.5160680529300568,0.780718336483932,0.5850661625708885,0.8279773156899811,True,True,True
9077,0.4886578449905482,0.7013232514177694,0.5066162570888468,0.7117202268431002,False,True,True
9078,0.500945179584121,0.7051039697542533,0.48582230623818523,0.6559546313799622,True,False,True
908,0.7400756143667296,0.9480151228733459,0.5718336483931947,0.7334593572778828,True,True,True
9082,0.6172022684310019,0.7712665406427222,0.6975425330812854,0.8487712665406427,True,True,True
9083,0.8185255198487713,0.9130434782608695,0.8478260869565217,0.9347826086956522,True,True,True
9087,0.8468809073724007,0.9555765595463138,0.8761814744801513,0.9792060491493384,True,True,True
9089,0.7967863894139886,0.9224952741020794,0.8260869565217391,0.9376181474480151,True,True,True
909,0.998109640831758,0.998109640831758,0.998109640831758,0.998109640831758,True,True,True
9091,0.6644612476370511,0.8062381852551985,0.6814744801512287,0.8223062381852552,True,True,True
9093,0.723062381852552,0.9716446124763705,0.724952741020794,0.9688090737240076,True,True,True
9095,0.8270321361058601,0.8875236294896031,0.8081285444234405,0.8752362948960303,True,True,True
9097,0.5642722117202268,0.9886578449905482,0.558601134215501,0.9886578449905482,True,True,True
9099,0.666351606805293,0.943289224952741,0.665406427221172,0.9555765595463138,True,True,True
91,0.9035916824196597,0.8601134215500945,0.8846880907372401,0.8440453686200378,True,True,True
9100,0.7268431001890359,0.7684310018903592,0.6871455576559546,0.7419659735349716,True,True,True
9101,0.6758034026465028,0.944234404536862,0.6814744801512287,0.9555765595463138,True,True,True
9105,0.8667296786389413,0.9603024574669187,0.8667296786389413,0.9706994328922496,True,True,True
9106,0.7495274102079396,0.9319470699432892,0.6219281663516069,0.7041587901701323,True,True,True
9107,0.8364839319470699,0.9385633270321361,0.8516068052930057,0.9508506616257089,True,True,True
9108,0.8913043478260869,0.9224952741020794,0.6710775047258979,0.6947069943289225,True,True,True
9109,0.8742911153119093,0.9744801512287334,0.9111531190926276,0.9848771266540642,True,True,True
911,0.9839319470699432,0.9744801512287334,0.9905482041587902,0.9848771266540642,True,True,True
9112,0.8052930056710775,0.9224952741020794,0.6247637051039697,0.6975425330812854,True,True,True
9113,0.8582230623818525,0.9659735349716446,0.889413988657845,0.9848771266540642,True,True,True
