obstruction_level,green_water_mismatch,antecedent_nocturnal_retention,predicted_failure_probability
low_obstruction,0.3033737281893798,0.22018760572494733,0.4000732660223885
low_obstruction,0.3033737281893798,0.27757423969336503,0.4038042318130185
low_obstruction,0.3033737281893798,0.33496087366178273,0.4075463550694078
low_obstruction,0.3033737281893798,0.39234750763020043,0.4112992331964951
low_obstruction,0.3033737281893798,0.44973414159861813,0.4150624586838696
low_obstruction,0.3033737281893798,0.5071207755670356,0.41883561927168816
low_obstruction,0.3033737281893798,0.5645074095354533,0.42261829812114066
low_obstruction,0.3033737281893798,0.621894043503871,0.42641007398932645
low_obstruction,0.3033737281893798,0.6792806774722887,0.430210521408397
low_obstruction,0.3033737281893798,0.7366673114407064,0.43401921086881073
low_obstruction,0.3033737281893798,0.7940539454091239,0.43783570900654306
low_obstruction,0.3033737281893798,0.8514405793775416,0.44165957879408474
low_obstruction,0.3033737281893798,0.9088272133459593,0.4454903797350567
low_obstruction,0.3033737281893798,0.966213847314377,0.4493276680622647
low_obstruction,0.3033737281893798,1.0236004812827946,0.4531709969390082
low_obstruction,0.42377930515327555,-0.9275450736434058,0.33209009270839007
low_obstruction,0.42377930515327555,-0.8701584396749881,0.33554166140582253
low_obstruction,0.42377930515327555,-0.8127718057065705,0.33901089543538465
low_obstruction,0.42377930515327555,-0.7553851717381528,0.3424975097152106
low_obstruction,0.42377930515327555,-0.6979985377697351,0.3460012120925126
low_obstruction,0.42377930515327555,-0.6406119038013175,0.3495217034076003
low_obstruction,0.42377930515327555,-0.5832252698328998,0.3530586775635941
low_obstruction,0.42377930515327555,-0.5258386358644822,0.35661182160184396
low_obstruction,0.42377930515327555,-0.4684520018960645,0.3601808157830542
low_obstruction,0.42377930515327555,-0.4110653679276468,0.36376533367410874
low_obstruction,0.42377930515327555,-0.3536787339592292,0.36736504224058414
low_obstruction,0.42377930515327555,-0.2962920999908115,0.3709796019449285
low_obstruction,0.42377930515327555,-0.23890546602239382,0.37460866685027805
low_obstruction,0.42377930515327555,-0.18151883205397623,0.37825188472987387
low_obstruction,0.42377930515327555,-0.12413219808555853,0.3819088971820353
low_obstruction,0.42377930515327555,-0.06674556411714094,0.3855793397506351
low_obstruction,0.42377930515327555,-0.009358930148723243,0.38926284205101747
low_obstruction,0.42377930515327555,0.048027703819694456,0.3929590279012895
low_obstruction,0.42377930515327555,0.10541433778811216,0.3966675154589085
low_obstruction,0.42377930515327555,0.16280097175652963,0.4003879173624809
low_obstruction,0.42377930515327555,0.22018760572494733,0.40411984087867986
low_obstruction,0.42377930515327555,0.27757423969336503,0.4078628880541801
low_obstruction,0.42377930515327555,0.33496087366178273,0.4116166558725033
low_obstruction,0.42377930515327555,0.39234750763020043,0.4153807364156542
low_obstruction,0.42377930515327555,0.44973414159861813,0.4191547170304277
low_obstruction,0.42377930515327555,0.5071207755670356,0.4229381804992519
low_obstruction,0.42377930515327555,0.5645074095354533,0.42673070521543116
low_obstruction,0.42377930515327555,0.621894043503871,0.4305318653626413
low_obstruction,0.42377930515327555,0.6792806774722887,0.434341231098525
low_obstruction,0.42377930515327555,0.7366673114407064,0.43815836874222847
low_obstruction,0.42377930515327555,0.7940539454091239,0.4419828409657113
low_obstruction,0.42377930515327555,0.8514405793775416,0.44581420698866003
low_obstruction,0.42377930515327555,0.9088272133459593,0.44965202277682315
low_obstruction,0.42377930515327555,0.966213847314377,0.45349584124358755
low_obstruction,0.42377930515327555,1.0236004812827946,0.4573452124546033
low_obstruction,0.5441848821171714,-0.9275450736434058,0.3358339708099111
low_obstruction,0.5441848821171714,-0.8701584396749881,0.3393046837803706
low_obstruction,0.5441848821171714,-0.8127718057065705,0.34279275260032244
low_obstruction,0.5441848821171714,-0.7553851717381528,0.3462978845226681
low_obstruction,0.5441848821171714,-0.6979985377697351,0.3498197797990733
low_obstruction,0.5441848821171714,-0.6406119038013175,0.3533581317501637
low_obstruction,0.5441848821171714,-0.5832252698328998,0.356912626841425
low_obstruction,0.5441848821171714,-0.5258386358644822,0.3604829447648096
low_obstruction,0.5441848821171714,-0.4684520018960645,0.36406875852604303
low_obstruction,0.5441848821171714,-0.4110653679276468,0.36766973453761637
low_obstruction,0.5441848821171714,-0.3536787339592292,0.371285532717442
low_obstruction,0.5441848821171714,-0.2962920999908115,0.37491580659314566
low_obstruction,0.5441848821171714,-0.23890546602239382,0.3785602034119534
low_obstruction,0.5441848821171714,-0.18151883205397623,0.3822183642561321
low_obstruction,0.5441848821171714,-0.12413219808555853,0.38588992416392676
low_obstruction,0.5441848821171714,-0.06674556411714094,0.3895745122559353
low_obstruction,0.5441848821171714,-0.009358930148723243,0.39327175186685015
low_obstruction,0.5441848821171714,0.048027703819694456,0.39698126068248873
low_obstruction,0.5441848821171714,0.10541433778811216,0.40070265088202917
low_obstruction,0.5441848821171714,0.16280097175652963,0.404435529285355
low_obstruction,0.5441848821171714,0.22018760572494733,0.4081794975054094
low_obstruction,0.5441848821171714,0.27757423969336503,0.4119341521054492
low_obstruction,0.5441848821171714,0.33496087366178273,0.41569908476108147
low_obstruction,0.5441848821171714,0.39234750763020043,0.4194738824269572
low_obstruction,0.5441848821171714,0.44973414159861813,0.42325812750799346
low_obstruction,0.5441848821171714,0.5071207755670356,0.42705139803497927
low_obstruction,0.5441848821171714,0.5645074095354533,0.4308532678444247
low_obstruction,0.5441848821171714,0.621894043503871,0.43466330676249426
low_obstruction,0.5441848821171714,0.6792806774722887,0.43848108079286946
low_obstruction,0.5441848821171714,0.7366673114407064,0.44230615230836945
low_obstruction,0.5441848821171714,0.7940539454091239,0.44613808024616036
low_obstruction,0.5441848821171714,0.8514405793775416,0.4499764203063718
low_obstruction,0.5441848821171714,0.9088272133459593,0.45382072515393757
low_obstruction,0.5441848821171714,0.966213847314377,0.45767054462346957
low_obstruction,0.5441848821171714,1.0236004812827946,0.46152542592696955
low_obstruction,0.6645904590810671,-0.9275450736434058,0.33959859591782277
low_obstruction,0.6645904590810671,-0.8701584396749881,0.3430881171898826
low_obstruction,0.6645904590810671,-0.8127718057065705,0.3465946765193151
low_obstruction,0.6645904590810671,-0.7553851717381528,0.35011797356964314
low_obstruction,0.6645904590810671,-0.6979985377697351,0.35365770107953864
low_obstruction,0.6645904590810671,-0.6406119038013175,0.3572135449392051
low_obstruction,0.6645904590810671,-0.5832252698328998,0.3607851842724659
