metric,veg_group,period,mean_frac_event,p90_frac_event,max_frac_event,mean_concurrent_exposed_population,max_concurrent_exposed_population,mean_population_exposed_at_least_once,max_population_exposed_at_least_once,mean_share_represented_pop_exposed_at_least_once
humidex_local_p95,high_veg,2015-2020,0.005604108808100461,0.012931552989293877,0.09960303139660773,11570730.714547753,178984690.98652,392051043.4281433,480640322.27228,0.1946858625220356
humidex_local_p95,high_veg,2021-2025,0.00908791363971569,0.02966438108985926,0.1273908336340671,19270311.320029393,177453203.56296,516791572.86294603,807913342.0721,0.2566298822397666
humidex_local_p95,low_veg,2003-2008,0.0015238319468424634,0.005535499398315283,0.018050541516245487,1005276.9712842029,13812873.38198,38196862.06765167,53096534.91075,0.05051406864287644
humidex_local_p95,low_veg,2015-2020,0.0044694710406529585,0.012033694344163659,0.047653429602888084,3151156.8304452896,33036922.06363,110121811.27756834,152609592.09814,0.14563240100981847
humidex_local_p95,low_veg,2021-2025,0.007174697849631141,0.024296028880866426,0.06895306859205776,5747592.711686609,39868483.59388,161884240.209896,257109592.30732,0.21408647672888098
t2m_local_p90,high_veg,2003-2008,0.006827964581404715,0.01855527487068447,0.0801154817755323,14982423.793323949,137302677.06631,472884468.27015,649930801.00056,0.2348263628466077
t2m_local_p90,high_veg,2015-2020,0.011533794632817118,0.03004330566582461,0.10970768675568388,24604600.96434011,190290312.6895,630610977.539115,784613836.85143,0.3131506576402432
t2m_local_p90,high_veg,2021-2025,0.017416409081637458,0.05156983038614219,0.15337423312883436,37014928.09230217,240950337.35308,802550660.7723138,1121567366.31541,0.3985329722473364
t2m_local_p90,low_veg,2003-2008,0.004682676712185424,0.013658243080625751,0.0368231046931408,3426698.1272230074,27680249.28171,111509218.97525,128262718.23815,0.14746720114476727
t2m_local_p90,low_veg,2015-2020,0.008772824778946267,0.02536101083032491,0.05812274368231047,6340790.1418626085,45778830.133370005,183815522.21829,220048183.28095,0.2430898614267174
t2m_local_p90,low_veg,2021-2025,0.013037199811646522,0.0392057761732852,0.0776173285198556,10052976.609148435,52962275.32564,241573716.38990197,316076313.72659,0.3194731355267191
t2m_local_p95,high_veg,2003-2008,0.004257344442178045,0.012059424996992661,0.07325875135330205,8921108.617895579,131308530.75265,306331056.181185,509582641.25558,0.15211877863768752
t2m_local_p95,high_veg,2015-2020,0.007643868430274217,0.01732226632984482,0.1079032840129917,16659329.402309349,187981167.78818,490025972.00711995,617062142.86194,0.24333854128841395
t2m_local_p95,high_veg,2021-2025,0.012429981328354229,0.038289426199927826,0.1378563695416817,25679020.72132687,188403834.99824,625110534.57436,975065250.02053,0.3104192314629708
t2m_local_p95,low_veg,2003-2008,0.002690577094124418,0.008303249097472924,0.03032490974729242,1875667.5709144927,20942318.60759,67803815.02250667,83338422.85014,0.08966827066133315
t2m_local_p95,low_veg,2015-2020,0.005780097315962958,0.016034897713598072,0.04909747292418772,4083974.0040040943,36865690.38215,128129459.32532167,155960630.22931,0.16944691142614224
t2m_local_p95,low_veg,2021-2025,0.009425521896091665,0.031191335740072202,0.0703971119133574,7249471.251170869,49097573.33674,185139580.936742,267636022.52026,0.2448408846618885
wetbulb_local_p90,high_veg,2003-2008,0.0038611603617173733,0.011488030795140143,0.07181522915914833,7780399.774311051,89539676.35523,268673671.3266466,344279879.33514,0.13341876349010953
wetbulb_local_p90,high_veg,2015-2020,0.007103855145685908,0.019667989895344642,0.10104655359076146,14861112.754013369,175897014.0661,470379645.01576835,533917501.59269,0.2335825103332195
wetbulb_local_p90,high_veg,2021-2025,0.011202987463323554,0.036232407073258754,0.13929989173583543,24419891.47279778,184686238.70988,618004177.110042,832022695.60874,0.30689033553086686
wetbulb_local_p90,low_veg,2003-2008,0.0024263590226547374,0.007851985559566786,0.023826714801444042,1763837.0807094201,17117051.30534,63889230.247436665,72458503.72827,0.08449136362415248
wetbulb_local_p90,low_veg,2015-2020,0.005957986710615811,0.018802647412755714,0.05415162454873646,4441463.06463663,49368881.59323,143875336.872185,186610227.649,0.19027030623370114
wetbulb_local_p90,low_veg,2021-2025,0.008968764715115367,0.031299638989169674,0.06787003610108304,7132390.215448652,43812755.35148,195591339.065536,257087105.75943,0.25866298414800737
